Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Home Team Form,Away Team Form,Home Team Cumulative Points,Away Team Cumulative Points,Winner
2014-2015,Manchester Utd,Swansea City,1,2,1170,1041,54.21,33.84,40.9,55.94,64.5,20.64,29.82,28.95,0.0,0.0,0,0,-1
2014-2015,West Brom,Sunderland,2,2,988,1016,38.63,37.45,53.75,51.46,24.01,26.97,26.52,25.1,0.0,0.0,0,0,0
2014-2015,Leicester City,Everton,2,2,763,1191,48.21,44.89,56.39,46.18,27.27,29.22,36.44,28.54,0.0,0.0,0,0,0
2014-2015,West Ham,Tottenham,0,1,1002,1202,46.69,57.4,52.39,57.04,32.51,25.29,39.62,25.83,0.0,0.0,0,0,-1
2014-2015,QPR,Hull City,0,1,865,926,45.73,65.26,32.79,46.99,30.42,24.58,21.05,26.32,0.0,0.0,0,0,-1
2014-2015,Stoke City,Aston Villa,0,1,1069,994,46.26,47.03,33.1,49.71,30.26,29.82,35.73,30.54,0.0,0.0,0,0,-1
2014-2015,Arsenal,Crystal Palace,2,1,1272,991,69.8,35.72,44.76,45.48,54.25,26.06,25.25,27.78,0.0,0.0,0,0,1
2014-2015,Liverpool,Southampton,2,1,1297,1090,51.7,38.25,54.97,39.11,49.76,25.12,29.9,27.84,0.0,0.0,0,0,1
2014-2015,Newcastle Utd,Manchester City,0,2,1001,1332,40.22,51.01,75.82,40.5,39.45,25.78,39.67,25.08,0.0,0.0,0,0,-1
2014-2015,Burnley,Chelsea,1,3,667,1283,39.37,57.89,68.64,31.52,21.05,15.79,52.83,25.35,0.0,0.0,0,0,-1
2014-2015,Aston Villa,Newcastle Utd,0,0,994,1001,33.0,40.0,50.0,51.0,35.81,30.51,39.4,25.75,0.2,0.0,3,0,0
2014-2015,Swansea City,Burnley,1,0,1044,664,41.0,56.0,39.0,58.0,30.43,28.7,20.51,15.38,0.2,0.0,3,0,1
2014-2015,Crystal Palace,West Ham,1,3,976,1017,45.0,46.0,47.0,57.0,25.13,27.64,32.47,25.25,0.0,0.0,0,0,-1
2014-2015,Southampton,West Brom,0,0,1085,993,55.0,38.63,39.0,53.75,29.85,27.79,23.93,27.21,0.0,0.0666666666666666,0,1,0
2014-2015,Chelsea,Leicester City,2,0,1285,761,69.0,31.0,48.21,56.39,52.89,25.32,27.18,29.45,0.2,0.0666666666666666,3,1,1
2014-2015,Everton,Arsenal,2,2,1195,1268,44.89,70.0,46.18,36.0,36.4,28.62,54.3,26.03,0.0666666666666666,0.2,1,3,0
2014-2015,Tottenham,QPR,4,0,1206,861,52.0,57.0,46.0,65.0,39.69,25.8,30.29,24.48,0.2,0.0,3,0,1
2014-2015,Hull City,Stoke City,1,1,932,1063,33.0,46.0,47.0,47.0,21.74,26.09,30.13,29.69,0.2,0.0,3,0,0
