Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Home Team Form,Away Team Form,Home Team Cumulative Points,Away Team Cumulative Points,Winner
2014-2015,Hull City,West Ham,2,2,1440,1505,33.0,47.0,47.0,57.0,21.37,26.5,32.52,25.18,0.26666666666666666,0.2,4,3,0
2014-2015,QPR,Stoke City,2,2,1414,1566,46.0,46.0,65.0,47.0,30.33,24.18,30.17,29.74,0.2,0.26666666666666666,3,4,0
2014-2015,Burnley,Sunderland,0,0,1405,1511,39.0,37.0,58.0,51.0,19.05,19.05,26.31,25.5,0.13333333333333333,0.2,2,3,0
2014-2015,Aston Villa,Arsenal,0,3,1531,1744,33.0,50.0,70.0,36.0,35.92,30.52,54.11,26.29,0.6666666666666666,0.4,10,6,-1
2014-2015,Newcastle Utd,Hull City,2,2,1486,1443,40.0,33.0,51.0,47.0,39.25,25.91,21.19,27.12,0.13333333333333333,0.3333333333333333,2,5,0
2014-2015,Swansea City,Southampton,0,1,1560,1608,41.0,55.0,56.0,38.0,31.36,27.97,30.03,27.82,0.6,0.4666666666666667,9,7,-1
2014-2015,West Ham,Liverpool,3,1,1502,1756,47.0,57.0,52.0,38.0,32.47,25.29,49.77,25.0,0.26666666666666666,0.4,4,6,1
2014-2015,Leicester City,Manchester Utd,5,3,1498,1644,48.0,56.0,55.0,33.0,27.24,29.49,64.32,20.77,0.3333333333333333,0.3333333333333333,5,5,1
2014-2015,Tottenham,West Brom,0,1,1673,1471,53.0,56.0,39.0,54.0,39.67,25.82,23.7,27.27,0.4666666666666667,0.13333333333333333,7,2,-1
2014-2015,Everton,Crystal Palace,2,3,1682,1521,44.0,47.0,45.0,46.0,36.38,28.64,24.75,28.22,0.3333333333333333,0.13333333333333333,5,2,-1
2014-2015,Manchester City,Chelsea,1,1,1800,1792,76.0,70.0,40.0,31.0,39.73,25.08,53.05,25.23,0.4666666666666667,0.8,7,12,0
2014-2015,Liverpool,Everton,1,1,1730,1659,52.0,44.0,38.0,47.0,49.71,24.97,36.34,28.6,0.4,0.3333333333333333,6,5,0
2014-2015,Manchester Utd,West Ham,2,1,1622,1528,55.0,33.0,47.0,57.0,64.24,20.75,32.57,25.25,0.3333333333333333,0.4666666666666667,5,7,1
2014-2015,Chelsea,Aston Villa,3,0,1792,1524,70.0,31.0,33.0,50.0,52.99,25.32,35.87,30.48,0.8666666666666667,0.6666666666666666,13,10,1
2014-2015,Southampton,QPR,2,1,1622,1421,56.0,38.0,46.0,65.0,30.15,27.77,30.2,24.49,0.6666666666666666,0.26666666666666666,10,4,1
2014-2015,Sunderland,Swansea City,0,0,1506,1546,37.0,41.0,51.0,55.0,26.25,25.65,31.09,27.73,0.26666666666666666,0.6,4,9,0
2014-2015,Crystal Palace,Leicester City,2,0,1544,1520,45.0,46.0,48.0,55.0,25.12,28.08,27.48,29.39,0.3333333333333333,0.5333333333333333,5,8,1
2014-2015,Hull City,Manchester City,2,4,1445,1800,33.0,47.0,76.0,40.0,21.01,27.73,39.67,25.19,0.4,0.5333333333333333,6,8,-1
2014-2015,Arsenal,Tottenham,1,1,1751,1649,70.0,53.0,36.0,56.0,54.16,26.26,39.62,25.79,0.6,0.4666666666666667,9,7,0
2014-2015,West Brom,Burnley,4,0,1495,1410,39.0,54.0,39.0,58.0,23.95,27.18,18.6,20.93,0.3333333333333333,0.2,5,3,1
2014-2015,Stoke City,Newcastle Utd,1,0,1559,1484,46.0,47.0,40.0,51.0,30.04,30.04,39.2,26.0,0.3333333333333333,0.2,5,3,1
2014-2015,Liverpool,West Brom,2,1,1727,1507,52.0,38.0,40.0,53.0,49.65,25.06,24.19,27.1,0.26666666666666666,0.4666666666666667,7,8,1
2014-2015,Sunderland,Stoke City,3,1,1508,1572,37.0,51.0,46.0,47.0,26.2,25.8,30.34,29.91,0.26666666666666666,0.5333333333333333,5,8,1
2014-2015,Swansea City,Newcastle Utd,2,2,1544,1471,41.0,40.0,55.0,51.0,30.83,28.33,39.15,25.97,0.4666666666666667,0.2,10,3,0
2014-2015,Leicester City,Burnley,2,2,1505,1398,48.0,39.0,55.0,58.0,27.39,29.3,18.18,20.45,0.4666666666666667,0.2,8,3,0
2014-2015,Hull City,Crystal Palace,2,0,1441,1559,33.0,47.0,45.0,46.0,20.83,27.5,25.49,27.94,0.2,0.5333333333333333,6,8,1
2014-2015,Aston Villa,Manchester City,0,2,1518,1804,33.0,50.0,76.0,40.0,35.83,30.44,39.76,25.15,0.4666666666666667,0.5333333333333333,10,11,-1
2014-2015,Manchester Utd,Everton,2,1,1634,1662,55.0,33.0,44.0,47.0,64.29,20.73,36.3,28.69,0.5333333333333333,0.3333333333333333,8,6,1
2014-2015,Chelsea,Arsenal,2,0,1798,1746,70.0,31.0,70.0,36.0,53.04,25.29,54.1,26.35,0.8666666666666667,0.4666666666666667,16,10,1
2014-2015,Tottenham,Southampton,1,0,1654,1630,53.0,56.0,56.0,38.0,39.58,25.88,30.27,27.72,0.3333333333333333,0.8666666666666667,8,13,1
2014-2015,West Ham,QPR,2,0,1516,1413,47.0,57.0,46.0,65.0,32.52,25.21,30.08,24.39,0.4666666666666667,0.26666666666666666,7,4,1
2014-2015,Manchester City,Tottenham,4,1,1809,1669,76.0,40.0,53.0,56.0,39.85,25.11,39.65,25.85,0.5333333333333333,0.3333333333333333,14,11,1
2014-2015,Crystal Palace,Chelsea,1,2,1538,1812,45.0,46.0,70.0,31.0,25.37,27.8,53.1,25.26,0.5333333333333333,0.8666666666666667,8,19,-1
2014-2015,Burnley,West Ham,1,3,1403,1527,39.0,58.0,47.0,57.0,17.78,22.22,32.62,25.18,0.26666666666666666,0.4666666666666667,4,10,-1
2014-2015,Southampton,Sunderland,8,0,1615,1527,56.0,38.0,37.0,51.0,30.22,27.67,26.35,25.75,0.8,0.4,13,8,1
2014-2015,Arsenal,Hull City,2,2,1732,1462,70.0,33.0,36.0,47.0,54.04,26.32,21.49,27.27,0.4,0.3333333333333333,10,9,0
2014-2015,Everton,Aston Villa,3,0,1645,1513,44.0,47.0,33.0,50.0,36.26,28.65,35.79,30.41,0.26666666666666666,0.4,6,10,1
2014-2015,Newcastle Utd,Leicester City,1,0,1474,1500,40.0,51.0,48.0,55.0,39.1,26.06,27.3,29.52,0.2,0.5333333333333333,4,9,1
2014-2015,QPR,Liverpool,2,3,1402,1734,46.0,65.0,52.0,38.0,29.96,24.29,49.71,25.03,0.26666666666666666,0.4666666666666667,4,10,-1
2014-2015,Stoke City,Swansea City,2,1,1553,1541,46.0,47.0,41.0,55.0,30.21,29.79,30.58,28.93,0.4666666666666667,0.3333333333333333,8,11,1
2014-2015,West Brom,Manchester Utd,2,2,1500,1651,40.0,55.0,53.0,33.0,24.12,27.01,64.33,20.7,0.4,0.6666666666666666,8,11,0
2014-2015,West Ham,Manchester City,2,1,1538,1819,47.0,57.0,77.0,40.0,32.71,25.14,39.94,25.08,0.6666666666666666,0.7333333333333333,13,17,1
2014-2015,Southampton,Stoke City,1,0,1627,1568,59.0,36.0,46.0,47.0,30.34,27.63,30.51,29.66,0.8,0.4666666666666667,16,11,1
2014-2015,West Brom,Crystal Palace,2,2,1507,1533,40.0,45.0,53.0,46.0,24.04,27.24,25.24,27.67,0.4666666666666667,0.4666666666666667,9,8,0
2014-2015,Sunderland,Arsenal,0,2,1515,1722,37.0,51.0,70.0,36.0,26.29,25.7,53.97,26.4,0.4,0.4,8,11,-1
2014-2015,Liverpool,Hull City,0,0,1738,1472,52.0,33.0,38.0,47.0,49.77,25.0,21.31,27.87,0.4666666666666667,0.4,13,10,0
2014-2015,Swansea City,Leicester City,2,0,1526,1483,41.0,55.0,48.0,55.0,30.33,28.69,27.22,29.43,0.13333333333333333,0.4666666666666667,11,9,1
2014-2015,Burnley,Everton,1,3,1392,1655,39.0,58.0,44.0,47.0,17.39,21.74,36.33,28.62,0.2,0.4666666666666667,4,9,-1
2014-2015,Tottenham,Newcastle Utd,1,2,1659,1491,53.0,56.0,40.0,51.0,39.6,25.82,39.18,26.03,0.3333333333333333,0.3333333333333333,11,7,-1
2014-2015,Manchester Utd,Chelsea,1,1,1644,1817,55.0,70.0,33.0,31.0,64.25,20.79,53.15,25.23,0.6666666666666666,0.8666666666666667,12,22,0
2014-2015,QPR,Aston Villa,2,0,1398,1503,46.0,65.0,33.0,50.0,29.84,24.19,35.75,30.37,0.06666666666666667,0.2,4,10,1
2014-2015,Newcastle Utd,Liverpool,1,0,1514,1728,40.0,51.0,52.0,38.0,39.25,26.0,49.71,25.09,0.5333333333333333,0.5333333333333333,10,14,1
2014-2015,Chelsea,QPR,2,1,1810,1419,70.0,31.0,46.0,65.0,53.09,25.32,30.12,24.1,0.7333333333333333,0.26666666666666666,23,7,1
2014-2015,Hull City,Southampton,0,1,1482,1640,33.0,47.0,59.0,36.0,21.14,28.46,30.46,27.58,0.4,0.8,11,19,-1
2014-2015,Everton,Swansea City,0,0,1661,1540,44.0,41.0,47.0,55.0,36.41,28.59,30.89,28.46,0.4666666666666667,0.3333333333333333,12,14,0
2014-2015,Stoke City,West Ham,2,2,1555,1565,46.0,47.0,47.0,57.0,30.38,29.54,32.81,25.11,0.4666666666666667,0.8,11,16,0
2014-2015,Leicester City,West Brom,0,1,1469,1508,48.0,55.0,40.0,53.0,27.13,29.34,23.96,27.48,0.26666666666666666,0.5333333333333333,9,10,-1
2014-2015,Arsenal,Burnley,3,0,1729,1386,70.0,36.0,39.0,58.0,54.03,26.37,17.02,21.28,0.5333333333333333,0.13333333333333333,14,4,1
2014-2015,Manchester City,Manchester Utd,1,0,1792,1651,77.0,40.0,55.0,33.0,39.88,25.04,64.18,20.89,0.6666666666666666,0.5333333333333333,17,13,1
