Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Home Team Form,Away Team Form,Home Team Cumulative Points,Away Team Cumulative Points,Winner
2016-2017,Chelsea,Middlesbrough,3,0,1788,1433,64.0,28.0,31.0,54.0,53.44,25.16,28.9,29.6,0.8,0.3333333333333333,81,28,1
2016-2017,Southampton,Arsenal,0,2,1578,1682,51.0,42.0,67.0,45.0,31.94,26.88,54.38,25.78,0.3333333333333333,0.6,42,63,-1
2016-2017,Everton,Watford,1,0,1620,1494,53.0,43.0,36.0,52.0,36.25,28.85,22.82,23.49,0.4666666666666667,0.2,58,40,1
2016-2017,West Brom,Chelsea,0,1,1532,1792,39.0,46.0,64.0,28.0,25.54,27.71,53.49,25.13,0.06666666666666667,0.8,45,84,-1
2016-2017,Manchester City,Leicester City,2,1,1720,1598,85.0,30.0,44.0,49.0,42.13,24.71,31.03,27.92,0.7333333333333333,0.4666666666666667,69,43,1
2016-2017,Sunderland,Swansea City,0,2,1427,1522,35.0,63.0,40.0,64.0,25.29,26.28,31.86,25.22,0.26666666666666666,0.4666666666666667,24,35,-1
2016-2017,Middlesbrough,Southampton,1,2,1429,1567,31.0,54.0,51.0,42.0,28.85,29.55,31.89,26.84,0.26666666666666666,0.13333333333333333,28,42,-1
2016-2017,Bournemouth,Burnley,2,1,1538,1507,53.0,60.0,37.0,54.0,29.73,24.32,23.21,22.32,0.4666666666666667,0.3333333333333333,42,40,1
2016-2017,Stoke City,Arsenal,1,4,1529,1693,48.0,49.0,67.0,45.0,31.76,28.53,54.43,25.76,0.3333333333333333,0.8,41,66,-1
2016-2017,Crystal Palace,Hull City,4,0,1516,1476,46.0,49.0,34.0,71.0,27.42,25.16,21.81,25.53,0.26666666666666666,0.26666666666666666,38,34,1
2016-2017,West Ham,Liverpool,0,4,1557,1700,49.0,58.0,73.0,36.0,32.84,26.0,49.58,25.31,0.6,0.6666666666666666,42,70,-1
2016-2017,Tottenham,Manchester Utd,2,1,1773,1709,78.0,33.0,59.0,31.0,41.4,25.76,62.88,21.69,0.8,0.5333333333333333,77,65,1
2016-2017,Chelsea,Watford,4,3,1798,1484,64.0,28.0,36.0,52.0,53.54,25.1,22.67,23.33,0.8,0.2,87,40,1
2016-2017,Arsenal,Sunderland,2,0,1702,1415,68.0,45.0,35.0,63.0,54.48,25.73,25.25,26.24,0.8,0.26666666666666666,69,24,1
2016-2017,Manchester City,West Brom,3,1,1731,1526,85.0,30.0,39.0,46.0,42.21,24.68,25.48,27.64,0.7333333333333333,0.06666666666666667,72,45,1
2016-2017,Southampton,Manchester Utd,0,0,1577,1696,51.0,59.0,42.0,31.0,31.99,26.8,62.81,21.67,0.3333333333333333,0.3333333333333333,45,65,0
2016-2017,Leicester City,Tottenham,1,6,1587,1786,44.0,49.0,78.0,33.0,30.95,27.86,41.46,25.73,0.4666666666666667,0.8,43,80,-1
2016-2017,Manchester Utd,Crystal Palace,2,0,1691,1530,59.0,31.0,47.0,48.0,62.75,21.75,27.65,25.08,0.2,0.4,66,41,1
2016-2017,Watford,Manchester City,0,5,1479,1739,36.0,52.0,85.0,30.0,22.52,23.18,42.28,24.64,0.0,0.7333333333333333,40,75,-1
2016-2017,Hull City,Tottenham,1,7,1462,1794,34.0,71.0,80.0,32.0,21.69,25.4,41.52,25.7,0.26666666666666666,0.8,34,83,-1
2016-2017,Leicester City,Bournemouth,1,1,1579,1553,44.0,53.0,49.0,60.0,30.88,27.79,30.67,24.0,0.4,0.6666666666666666,43,45,0
2016-2017,Liverpool,Middlesbrough,3,0,1710,1419,74.0,36.0,31.0,54.0,49.64,25.29,28.8,29.49,0.6666666666666666,0.26666666666666666,73,28,1
2016-2017,Southampton,Stoke City,0,1,1582,1520,51.0,42.0,48.0,49.0,31.94,26.91,31.67,28.45,0.4,0.3333333333333333,46,41,-1
2016-2017,Burnley,West Ham,1,2,1492,1547,37.0,54.0,49.0,58.0,23.01,22.12,32.8,25.96,0.26666666666666666,0.4,40,42,-1
2016-2017,Arsenal,Everton,3,1,1707,1630,68.0,45.0,53.0,43.0,54.53,25.7,36.32,28.82,0.8,0.4666666666666667,72,61,1
2016-2017,Swansea City,West Brom,2,1,1534,1518,40.0,64.0,39.0,46.0,32.16,25.11,25.42,27.58,0.6666666666666666,0.06666666666666667,38,45,1
2016-2017,Chelsea,Sunderland,5,1,1803,1410,64.0,28.0,35.0,63.0,53.59,25.08,25.21,26.19,1.0,0.2,90,24,1
2017-2018,Arsenal,Leicester City,4,3,1720,1578,72.27,48.75,50.29,49.36,54.57,25.68,30.81,27.96,1.0,0.4666666666666667,0,0,1
2017-2018,Watford,Liverpool,3,3,1473,1715,45.85,77.49,53.98,35.75,22.37,23.03,49.69,25.26,0.0,0.6666666666666666,0,0,0
2017-2018,Southampton,Swansea City,0,0,1563,1549,41.88,29.71,46.56,61.83,31.9,26.87,32.46,25.0,0.3333333333333333,0.8666666666666667,0,0,0
2017-2018,Chelsea,Burnley,2,3,1806,1479,59.16,34.03,32.77,52.16,53.64,25.05,22.81,21.93,1.0,0.26666666666666666,0,0,-1
2017-2018,West Brom,Bournemouth,1,0,1503,1554,35.18,48.99,39.99,64.93,25.36,27.51,30.26,25.0,0.06666666666666667,0.7333333333333333,0,0,1
2017-2018,Everton,Stoke City,1,0,1617,1539,43.71,55.5,36.75,65.54,36.28,28.79,31.87,28.36,0.26666666666666666,0.3333333333333333,0,0,1
2017-2018,Crystal Palace,Huddersfield,0,3,1521,1500,56.75,53.54,32.13,53.22,27.56,25.0,0.0,0.0,0.2,0.0,0,0,-1
2017-2018,Brighton,Manchester City,0,2,1500,1745,37.21,53.08,91.43,24.51,0.0,0.0,42.36,24.61,0.0,0.8666666666666667,0,0,-1
2017-2018,Newcastle Utd,Tottenham,0,2,1502,1798,44.63,52.47,68.91,35.86,38.15,25.71,41.58,25.68,0.6,0.8,0,0,-1
2017-2018,Manchester Utd,West Ham,4,0,1700,1560,59.04,43.64,36.8,58.37,62.79,21.73,32.88,25.93,0.3333333333333333,0.5333333333333333,0,0,1
2017-2018,Swansea City,Manchester Utd,0,4,1550,1710,29.71,61.83,60.0,43.0,32.31,25.33,62.82,21.7,0.7333333333333333,0.4666666666666667,1,3,-1
2017-2018,Leicester City,Brighton,2,0,1568,1494,50.0,50.0,37.0,53.0,30.73,27.9,0.0,0.0,0.26666666666666666,0.0,0,0,1
2017-2018,Burnley,West Brom,0,1,1507,1521,33.0,52.0,35.0,49.0,23.48,21.74,25.54,27.45,0.4666666666666667,0.26666666666666666,3,3,-1
2017-2018,Liverpool,Crystal Palace,1,0,1705,1504,77.49,35.75,57.0,54.0,49.64,25.34,27.48,24.92,0.7333333333333333,0.2,1,0,1
2017-2018,Bournemouth,Watford,0,2,1536,1483,40.0,65.0,45.85,53.98,29.87,24.68,22.22,23.53,0.5333333333333333,0.06666666666666667,0,1,-1
2017-2018,Southampton,West Ham,3,2,1562,1550,41.88,46.56,37.0,58.0,31.85,26.97,32.84,25.9,0.3333333333333333,0.4666666666666667,1,0,1
2017-2018,Stoke City,Arsenal,1,0,1527,1730,37.0,66.0,72.0,49.0,31.78,28.28,54.62,25.65,0.3333333333333333,1.0,0,3,1
2017-2018,Huddersfield,Newcastle Utd,1,0,1517,1497,33.0,52.0,45.0,52.0,100.0,0.0,38.11,25.68,0.2,0.5333333333333333,3,0,1
2017-2018,Tottenham,Chelsea,1,2,1803,1778,69.0,36.0,59.0,34.0,41.64,25.65,53.58,25.03,0.8,0.8,3,0,-1
2017-2018,Manchester City,Everton,1,1,1751,1629,92.0,44.0,24.0,55.0,42.43,24.58,36.34,28.76,1.0,0.4,3,3,0
2017-2018,Bournemouth,Manchester City,1,2,1518,1746,40.0,65.0,92.0,24.0,29.49,24.36,42.38,24.68,0.3333333333333333,0.8666666666666667,0,4,-1
2017-2018,Watford,Brighton,0,0,1501,1481,46.0,37.0,54.0,53.0,22.73,23.38,0.0,0.0,0.26666666666666666,0.0,4,0,0
2017-2018,Newcastle Utd,West Ham,3,0,1482,1535,45.0,52.0,37.0,58.0,38.06,25.65,32.8,25.87,0.4666666666666667,0.4,0,0,1
2017-2018,Crystal Palace,Swansea City,0,2,1496,1541,57.0,54.0,30.0,62.0,27.39,24.84,32.17,25.22,0.2,0.6666666666666666,0,1,-1
2017-2018,Huddersfield,Southampton,0,0,1532,1577,33.0,42.0,52.0,46.0,100.0,0.0,31.95,26.93,0.4,0.5333333333333333,6,4,0
2017-2018,Manchester Utd,Leicester City,2,0,1719,1581,61.0,42.0,50.0,50.0,62.86,21.68,30.9,27.83,0.6666666666666666,0.26666666666666666,6,3,1
2017-2018,West Brom,Stoke City,1,1,1536,1551,35.0,37.0,49.0,66.0,25.71,27.38,31.98,28.2,0.4,0.4666666666666667,6,3,0
2017-2018,Chelsea,Everton,2,0,1795,1634,59.0,34.0,44.0,55.0,53.63,25.0,36.31,28.84,0.8,0.4666666666666667,3,4,1
2017-2018,Liverpool,Arsenal,4,0,1713,1706,78.0,36.0,72.0,49.0,49.69,25.31,54.56,25.62,0.7333333333333333,0.8,4,3,1
2017-2018,Tottenham,Burnley,1,1,1786,1492,69.0,33.0,36.0,52.0,41.6,25.62,23.28,21.55,0.8,0.26666666666666666,3,3,0
2017-2018,Manchester City,Liverpool,5,0,1753,1729,92.0,24.0,79.0,36.0,42.45,24.65,49.74,25.28,0.8666666666666667,0.8666666666666667,7,7,1
2017-2018,Southampton,Watford,0,2,1575,1500,42.0,46.0,46.0,54.0,31.9,27.04,22.58,23.87,0.4,0.3333333333333333,5,5,-1
2017-2018,Everton,Tottenham,0,3,1625,1775,44.0,55.0,69.0,36.0,36.27,28.81,41.55,25.7,0.4666666666666667,0.6666666666666666,4,4,-1
2017-2018,Brighton,West Brom,3,1,1482,1537,37.0,53.0,35.0,49.0,0.0,33.33,25.65,27.55,0.06666666666666667,0.4666666666666667,1,7,1
2017-2018,Leicester City,Chelsea,1,2,1571,1804,50.0,50.0,59.0,34.0,30.82,27.76,53.68,24.97,0.26666666666666666,0.8,3,6,-1
2017-2018,Arsenal,Bournemouth,3,0,1690,1511,72.0,49.0,40.0,65.0,54.51,25.6,29.11,24.05,0.6,0.26666666666666666,3,0,1
2017-2018,Stoke City,Manchester Utd,2,2,1550,1729,37.0,61.0,66.0,42.0,31.88,28.41,62.9,21.66,0.4666666666666667,0.8666666666666667,4,9,0
2017-2018,Burnley,Crystal Palace,1,0,1503,1482,33.0,52.0,57.0,54.0,23.08,22.22,27.3,24.76,0.26666666666666666,0.2,4,0,1
2017-2018,Swansea City,Newcastle Utd,0,1,1555,1500,30.0,62.0,45.0,51.0,32.47,25.11,38.13,25.62,0.6666666666666666,0.4666666666666667,4,3,-1
2017-2018,West Ham,Huddersfield,2,0,1517,1534,37.0,58.0,33.0,52.0,32.76,25.83,66.67,33.33,0.2,0.4666666666666667,0,7,1
2017-2018,Bournemouth,Brighton,2,1,1503,1501,40.0,65.0,37.0,53.0,28.75,23.75,25.0,25.0,0.06666666666666667,0.26666666666666666,0,4,1
2017-2018,Crystal Palace,Southampton,0,1,1467,1556,57.0,54.0,42.0,46.0,27.22,24.68,31.86,27.0,0.0,0.3333333333333333,0,5,-1
2017-2018,West Brom,West Ham,0,0,1518,1534,35.0,37.0,49.0,58.0,25.59,27.49,32.84,25.8,0.4666666666666667,0.4,7,3,0
2017-2018,Liverpool,Burnley,1,1,1714,1518,79.0,33.0,36.0,52.0,49.69,25.26,23.73,22.03,0.6666666666666666,0.4666666666666667,7,7,0
2017-2018,Newcastle Utd,Stoke City,2,1,1519,1558,45.0,51.0,37.0,66.0,38.21,25.59,31.79,28.61,0.6,0.5333333333333333,6,5,1
2017-2018,Watford,Manchester City,0,6,1519,1768,46.0,54.0,93.0,24.0,23.08,23.72,42.53,24.61,0.5333333333333333,0.8666666666666667,8,10,-1
2017-2018,Huddersfield,Leicester City,1,1,1517,1564,33.0,50.0,52.0,50.0,50.0,25.0,30.75,27.7,0.4666666666666667,0.26666666666666666,7,3,0
2017-2018,Tottenham,Swansea City,0,0,1784,1536,69.0,30.0,36.0,62.0,41.61,25.67,32.33,25.0,0.6666666666666666,0.4666666666666667,7,4,0
2017-2018,Chelsea,Arsenal,0,0,1811,1698,59.0,72.0,34.0,49.0,53.73,24.95,54.55,25.57,0.8,0.6,9,6,0
2017-2018,Manchester Utd,Everton,4,0,1721,1616,61.0,42.0,44.0,55.0,62.84,21.74,36.23,28.78,0.8666666666666667,0.26666666666666666,10,4,1
2017-2018,West Ham,Tottenham,2,3,1533,1774,37.0,58.0,69.0,36.0,32.8,25.89,41.57,25.75,0.26666666666666666,0.5333333333333333,4,8,-1
2017-2018,Manchester City,Crystal Palace,5,0,1774,1455,95.0,24.0,57.0,54.0,42.6,24.58,27.13,24.61,0.8666666666666667,0.0,13,0,1
2017-2018,Everton,Bournemouth,2,1,1605,1519,44.0,55.0,40.0,65.0,36.19,28.75,29.63,23.46,0.26666666666666666,0.2,4,3,1
2017-2018,Burnley,Huddersfield,0,0,1526,1519,33.0,33.0,52.0,52.0,23.53,22.69,40.0,40.0,0.5333333333333333,0.5333333333333333,8,8,0
2017-2018,Swansea City,Watford,1,2,1546,1513,30.0,62.0,46.0,54.0,32.19,25.32,22.93,23.57,0.3333333333333333,0.5333333333333333,5,8,-1
2017-2018,Southampton,Manchester Utd,0,1,1568,1732,42.0,46.0,62.0,41.0,31.95,26.96,62.87,21.72,0.5333333333333333,0.8666666666666667,8,13,-1
2017-2018,Stoke City,Chelsea,0,4,1540,1806,37.0,66.0,59.0,34.0,31.7,28.53,53.67,25.03,0.3333333333333333,0.6666666666666666,5,10,-1
2017-2018,Leicester City,Liverpool,2,3,1562,1706,50.0,50.0,79.0,36.0,30.68,27.87,49.64,25.34,0.26666666666666666,0.5333333333333333,4,8,-1
2017-2018,Brighton,Newcastle Utd,1,0,1485,1537,37.0,53.0,45.0,51.0,20.0,20.0,38.28,25.56,0.26666666666666666,0.6,4,9,1
2017-2018,Arsenal,West Brom,2,0,1703,1519,72.0,49.0,35.0,49.0,54.5,25.65,25.53,27.66,0.4666666666666667,0.5333333333333333,7,8,1
2017-2018,Huddersfield,Tottenham,0,4,1519,1780,33.0,52.0,69.0,36.0,33.33,50.0,41.63,25.72,0.4,0.5333333333333333,9,11,-1
2017-2018,West Ham,Swansea City,1,0,1527,1528,37.0,58.0,30.0,62.0,32.76,25.86,32.05,25.21,0.26666666666666666,0.26666666666666666,4,5,1
2017-2018,West Brom,Watford,2,2,1511,1531,35.0,46.0,49.0,54.0,25.47,27.59,23.42,23.42,0.3333333333333333,0.6666666666666666,8,11,0
2017-2018,Bournemouth,Leicester City,0,0,1507,1552,40.0,50.0,65.0,50.0,29.27,23.17,30.61,27.8,0.2,0.26666666666666666,3,4,0
2017-2018,Manchester Utd,Crystal Palace,4,0,1741,1451,62.0,41.0,57.0,54.0,62.91,21.69,27.04,24.53,0.8666666666666667,0.0,16,0,1
2017-2018,Stoke City,Southampton,2,1,1534,1559,37.0,66.0,42.0,46.0,31.61,28.45,31.91,26.92,0.3333333333333333,0.4666666666666667,5,8,1
2017-2018,Chelsea,Manchester City,0,1,1812,1778,60.0,34.0,96.0,24.0,53.72,25.0,42.67,24.55,0.8666666666666667,0.8666666666666667,13,16,-1
2017-2018,Arsenal,Brighton,2,0,1711,1503,72.0,49.0,37.0,53.0,54.55,25.62,33.33,16.67,0.4666666666666667,0.4666666666666667,10,7,1
2017-2018,Everton,Burnley,0,1,1617,1526,44.0,55.0,33.0,52.0,36.26,28.72,23.33,23.33,0.26666666666666666,0.4,7,9,-1
2017-2018,Newcastle Utd,Liverpool,1,1,1519,1716,45.0,79.0,51.0,36.0,38.24,25.53,49.69,25.31,0.6,0.6666666666666666,9,11,0
2017-2018,Liverpool,Manchester Utd,0,0,1708,1746,79.0,63.0,36.0,40.0,49.64,25.39,62.95,21.67,0.5333333333333333,0.8666666666666667,12,19,0
2017-2018,Tottenham,Bournemouth,1,0,1786,1509,70.0,36.0,40.0,65.0,41.69,25.7,28.92,24.1,0.7333333333333333,0.26666666666666666,14,4,1
2017-2018,Manchester City,Stoke City,7,2,1796,1551,96.0,24.0,37.0,66.0,42.75,24.52,31.81,28.37,1.0,0.3333333333333333,19,8,1
2017-2018,Crystal Palace,Chelsea,2,1,1446,1794,57.0,54.0,60.0,34.0,26.96,24.45,53.66,24.97,0.0,0.6666666666666666,0,13,1
2017-2018,Burnley,West Ham,1,1,1546,1543,33.0,37.0,52.0,58.0,23.97,23.14,32.84,25.83,0.6,0.4666666666666667,12,7,0
2017-2018,Swansea City,Huddersfield,2,0,1512,1513,30.0,62.0,33.0,52.0,31.91,25.11,28.57,42.86,0.26666666666666666,0.2,5,9,1
2017-2018,Watford,Arsenal,2,1,1530,1718,46.0,54.0,72.0,49.0,23.27,23.9,54.59,25.59,0.5333333333333333,0.6666666666666666,12,13,1
2017-2018,Brighton,Everton,1,1,1496,1597,37.0,44.0,53.0,55.0,28.57,14.29,36.22,28.69,0.4666666666666667,0.2,7,7,0
2017-2018,Southampton,Newcastle Utd,2,2,1542,1527,42.0,45.0,46.0,51.0,31.86,26.88,38.19,25.62,0.26666666666666666,0.6666666666666666,8,10,0
2017-2018,Leicester City,West Brom,1,1,1550,1512,50.0,35.0,50.0,49.0,30.54,27.97,25.41,27.76,0.13333333333333333,0.2,5,9,0
2017-2018,West Ham,Brighton,0,3,1543,1501,37.0,58.0,37.0,53.0,32.8,25.92,25.0,25.0,0.5333333333333333,0.4666666666666667,8,8,-1
2017-2018,Chelsea,Watford,4,2,1766,1554,60.0,34.0,46.0,54.0,53.61,24.95,23.75,23.75,0.4666666666666667,0.6666666666666666,13,15,1
2017-2018,Huddersfield,Manchester Utd,2,1,1497,1744,33.0,52.0,63.0,40.0,25.0,37.5,62.89,21.75,0.13333333333333333,0.7333333333333333,9,20,1
2017-2018,Newcastle Utd,Crystal Palace,1,0,1528,1474,45.0,51.0,57.0,54.0,38.15,25.7,27.19,24.38,0.5333333333333333,0.2,11,3,1
2017-2018,Swansea City,Leicester City,1,2,1528,1548,30.0,62.0,50.0,50.0,32.2,25.0,30.47,28.14,0.26666666666666666,0.2,8,6,-1
2017-2018,Stoke City,Bournemouth,1,2,1545,1504,36.0,67.0,40.0,65.0,31.71,28.29,28.57,23.81,0.26666666666666666,0.26666666666666666,8,4,-1
2017-2018,Manchester City,Burnley,3,0,1802,1546,98.0,24.0,33.0,52.0,42.82,24.49,23.77,23.77,1.0,0.6,22,13,1
2017-2018,Southampton,West Brom,1,0,1541,1514,42.0,46.0,35.0,49.0,31.82,26.99,25.35,27.93,0.26666666666666666,0.2,9,10,1
2017-2018,Everton,Arsenal,2,5,1592,1694,44.0,55.0,72.0,49.0,36.19,28.76,54.54,25.57,0.26666666666666666,0.6666666666666666,8,13,-1
2017-2018,Tottenham,Liverpool,4,1,1791,1710,70.0,36.0,79.0,36.0,41.75,25.67,49.59,25.46,0.8666666666666667,0.4,17,13,1
2017-2018,Manchester Utd,Tottenham,1,0,1718,1803,63.0,40.0,71.0,36.0,62.82,21.73,41.81,25.64,0.6666666666666666,0.8666666666666667,20,20,1
2017-2018,Watford,Stoke City,0,1,1547,1527,46.0,54.0,36.0,67.0,23.6,23.6,31.62,28.21,0.4666666666666667,0.2,15,8,-1
2017-2018,Arsenal,Swansea City,2,1,1705,1513,73.0,48.0,30.0,62.0,54.58,25.54,32.07,24.89,0.6666666666666666,0.26666666666666666,16,8,1
2017-2018,Crystal Palace,West Ham,2,2,1460,1525,57.0,37.0,54.0,58.0,27.1,24.3,32.76,25.89,0.2,0.3333333333333333,3,8,0
2017-2018,West Brom,Manchester City,2,3,1499,1808,35.0,49.0,98.0,24.0,25.29,27.87,42.89,24.46,0.2,1.0,10,25,-1
2017-2018,Liverpool,Huddersfield,3,0,1698,1523,79.0,36.0,33.0,52.0,49.54,25.44,33.33,33.33,0.4,0.3333333333333333,13,12,1
2017-2018,Bournemouth,Chelsea,0,1,1522,1773,40.0,65.0,60.0,34.0,29.41,23.53,53.66,24.92,0.4666666666666667,0.4666666666666667,7,16,-1
2017-2018,Brighton,Southampton,1,1,1519,1556,37.0,42.0,52.0,46.0,33.33,22.22,31.91,26.95,0.4666666666666667,0.4666666666666667,11,12,0
2017-2018,Leicester City,Everton,2,0,1563,1581,50.0,50.0,44.0,55.0,30.63,28.07,36.15,28.73,0.4,0.26666666666666666,9,8,1
2017-2018,Burnley,Newcastle Utd,1,0,1540,1542,33.0,52.0,45.0,51.0,23.58,23.58,38.22,25.67,0.4,0.5333333333333333,13,14,1
2017-2018,Stoke City,Leicester City,2,2,1544,1580,36.0,50.0,67.0,50.0,31.82,28.12,30.79,28.01,0.4,0.5333333333333333,11,12,0
2017-2018,Southampton,Burnley,0,1,1554,1556,42.0,46.0,33.0,52.0,31.87,27.05,24.19,23.39,0.3333333333333333,0.5333333333333333,13,16,-1
2017-2018,Swansea City,Brighton,0,1,1505,1521,30.0,62.0,37.0,52.0,31.93,24.79,30.0,30.0,0.2,0.5333333333333333,8,12,-1
2017-2018,Newcastle Utd,Bournemouth,0,1,1526,1516,45.0,51.0,40.0,65.0,38.17,25.64,29.07,23.26,0.3333333333333333,0.26666666666666666,14,7,-1
2017-2018,Huddersfield,West Brom,1,0,1514,1494,33.0,52.0,35.0,49.0,30.0,30.0,25.23,27.8,0.26666666666666666,0.13333333333333333,12,10,1
2017-2018,West Ham,Liverpool,1,4,1522,1707,37.0,58.0,79.0,36.0,32.72,25.98,49.59,25.41,0.3333333333333333,0.5333333333333333,9,16,-1
2017-2018,Tottenham,Crystal Palace,1,0,1783,1463,71.0,36.0,57.0,54.0,41.77,25.62,27.02,24.53,0.8,0.26666666666666666,20,4,1
2017-2018,Manchester City,Arsenal,3,1,1813,1713,98.0,24.0,73.0,48.0,42.97,24.42,54.63,25.51,1.0,0.8,28,19,1
2017-2018,Everton,Watford,3,2,1564,1530,44.0,55.0,46.0,54.0,36.11,28.7,23.46,23.46,0.26666666666666666,0.4666666666666667,8,15,1
2017-2018,Chelsea,Manchester Utd,1,0,1779,1738,60.0,34.0,63.0,40.0,53.7,24.9,62.86,21.71,0.6,0.6666666666666666,19,23,1
2017-2018,Arsenal,Tottenham,2,0,1701,1787,73.0,48.0,71.0,36.0,54.57,25.49,41.83,25.59,0.6,0.8,19,23,1
2017-2018,Burnley,Swansea City,2,0,1572,1490,33.0,52.0,30.0,62.0,24.8,23.2,31.8,24.69,0.6666666666666666,0.2,19,8,1
2017-2018,Crystal Palace,Everton,2,2,1459,1578,57.0,44.0,54.0,55.0,26.93,24.46,36.18,28.67,0.26666666666666666,0.26666666666666666,4,11,0
2017-2018,Bournemouth,Huddersfield,4,0,1532,1529,40.0,65.0,33.0,52.0,29.89,22.99,36.36,27.27,0.4666666666666667,0.4,10,15,1
2017-2018,Liverpool,Southampton,3,0,1715,1538,80.0,36.0,42.0,46.0,49.64,25.39,31.82,27.02,0.5333333333333333,0.3333333333333333,19,13,1
2017-2018,West Brom,Chelsea,0,4,1479,1793,35.0,49.0,60.0,34.0,25.17,27.74,53.75,24.87,0.13333333333333333,0.6,10,22,-1
2017-2018,Leicester City,Manchester City,0,2,1578,1825,50.0,50.0,98.0,24.0,30.72,28.18,43.04,24.39,0.6,1.0,13,31,-1
2017-2018,Manchester Utd,Newcastle Utd,4,1,1724,1510,63.0,40.0,45.0,51.0,62.8,21.69,38.13,25.61,0.4666666666666667,0.3333333333333333,23,14,1
2017-2018,Watford,West Ham,2,0,1516,1514,46.0,54.0,37.0,58.0,23.31,23.31,32.68,25.95,0.26666666666666666,0.3333333333333333,15,9,1
2017-2018,Brighton,Stoke City,2,2,1536,1546,37.0,36.0,52.0,67.0,36.36,27.27,31.73,28.33,0.5333333333333333,0.4666666666666667,15,12,0
2017-2018,West Ham,Leicester City,1,1,1498,1572,37.0,50.0,58.0,50.0,32.64,25.92,30.65,28.11,0.13333333333333333,0.5333333333333333,9,13,0
2017-2018,Swansea City,Bournemouth,0,0,1478,1548,30.0,41.0,62.0,64.0,31.67,24.58,30.68,22.73,0.2,0.6,8,13,0
2017-2018,Tottenham,West Brom,1,1,1767,1474,71.0,35.0,36.0,49.0,41.79,25.56,25.12,27.67,0.6,0.06666666666666667,23,10,0
2017-2018,Manchester Utd,Brighton,1,0,1731,1536,64.0,40.0,37.0,52.0,62.83,21.66,33.33,33.33,0.4666666666666667,0.6,26,16,1
2017-2018,Crystal Palace,Stoke City,2,1,1464,1546,57.0,54.0,36.0,67.0,26.85,24.69,31.64,28.53,0.3333333333333333,0.3333333333333333,5,13,1
2017-2018,Newcastle Utd,Watford,0,3,1503,1532,45.0,51.0,46.0,54.0,38.08,25.58,23.78,23.17,0.26666666666666666,0.4,14,18,-1
2017-2018,Liverpool,Chelsea,1,1,1723,1798,80.0,61.0,36.0,34.0,49.69,25.36,53.8,24.85,0.6666666666666666,0.8,22,25,0
2017-2018,Southampton,Everton,4,1,1530,1573,42.0,46.0,44.0,55.0,31.78,26.98,36.14,28.75,0.3333333333333333,0.3333333333333333,13,12,1
2017-2018,Burnley,Arsenal,0,1,1584,1721,33.0,52.0,73.0,48.0,25.4,23.02,54.62,25.46,0.6666666666666666,0.6,22,22,-1
2017-2018,Huddersfield,Manchester City,1,2,1513,1831,33.0,52.0,98.0,24.0,33.33,25.0,43.11,24.36,0.4,1.0,15,34,-1
2017-2018,Brighton,Crystal Palace,0,0,1528,1484,37.0,57.0,52.0,54.0,30.77,30.77,27.08,24.62,0.5333333333333333,0.3333333333333333,16,8,0
2017-2018,Leicester City,Tottenham,2,1,1569,1756,50.0,50.0,71.0,36.0,30.57,28.28,41.74,25.64,0.5333333333333333,0.4666666666666667,14,24,1
2017-2018,Watford,Manchester Utd,2,4,1547,1739,46.0,53.0,64.0,40.0,24.24,23.03,62.87,21.64,0.4,0.6,21,29,-1
2017-2018,West Brom,Newcastle Utd,2,2,1485,1488,35.0,45.0,49.0,51.0,25.06,27.84,38.04,25.55,0.06666666666666667,0.2,11,14,0
2017-2018,Arsenal,Huddersfield,5,0,1731,1509,73.0,48.0,33.0,52.0,54.67,25.44,30.77,23.08,0.8,0.4,25,15,1
2017-2018,Chelsea,Swansea City,1,0,1795,1481,61.0,34.0,30.0,62.0,53.74,24.92,31.54,24.9,0.8666666666666667,0.06666666666666667,26,9,1
2017-2018,Bournemouth,Burnley,1,2,1545,1574,41.0,64.0,33.0,52.0,30.34,23.6,25.2,22.83,0.6666666666666666,0.6,14,22,-1
2017-2018,Manchester City,Southampton,2,1,1835,1548,98.0,24.0,43.0,45.0,43.18,24.33,31.88,26.94,1.0,0.4666666666666667,37,16,1
2017-2018,Everton,West Ham,4,0,1555,1501,44.0,55.0,37.0,58.0,36.1,28.72,32.6,26.01,0.26666666666666666,0.13333333333333333,12,10,1
2017-2018,Stoke City,Liverpool,0,3,1526,1726,36.0,67.0,80.0,36.0,31.55,28.45,49.64,25.44,0.3333333333333333,0.6666666666666666,13,23,-1
2017-2018,Chelsea,Newcastle Utd,3,1,1800,1488,61.0,34.0,45.0,51.0,53.79,24.9,38.0,25.64,0.8666666666666667,0.06666666666666667,29,15,1
2017-2018,Everton,Huddersfield,2,0,1569,1502,45.0,54.0,33.0,52.0,36.17,28.69,28.57,21.43,0.4666666666666667,0.2,15,15,1
2017-2018,Stoke City,Swansea City,2,1,1518,1476,36.0,67.0,30.0,62.0,31.46,28.37,31.4,24.79,0.3333333333333333,0.06666666666666667,13,9,1
2017-2018,Watford,Tottenham,1,1,1539,1732,46.0,71.0,53.0,36.0,24.1,22.89,41.7,25.61,0.4,0.26666666666666666,21,24,0
