Team,ELO,XG,XGA,Win Percentage,Draw Percentage,Team Form,Team Cumulative Points
Manchester Utd,1646,40.0,55.0,61.08,22.37,0.2666666666666666,58
Everton,1532,47.0,59.0,36.32,27.83,0.6666666666666666,39
West Ham,1609,46.0,49.0,33.67,25.35,0.3333333333333333,56
Tottenham,1706,79.0,41.0,43.53,24.43,0.7333333333333333,68
Aston Villa,1555,24.0,50.0,34.14,28.47,0.5333333333333333,45
Arsenal,1673,65.0,45.0,53.69,24.67,0.6,66
Crystal Palace,1557,50.0,59.0,28.74,25.75,0.5333333333333333,45
Liverpool,1856,101.0,40.0,52.82,24.5,0.8666666666666667,89
Newcastle Utd,1618,59.0,62.0,36.88,25.58,0.6,46
Manchester City,1861,106.0,44.0,49.12,21.85,0.8666666666666667,90
Chelsea,1698,75.0,41.0,53.61,24.67,0.4,71
Bournemouth,1442,49.0,62.0,29.1,22.87,0.2666666666666666,31
Brighton,1586,51.0,59.0,24.87,34.39,0.5333333333333333,48
Fulham,1442,41.0,44.0,28.47,27.07,0.1333333333333333,28
Wolves,1545,32.0,57.0,29.7,25.5,0.1333333333333333,51
Brentford,1565,54.0,51.0,35.14,18.92,0.6666666666666666,46
Nott'ham Forest,1501,35.0,67.0,29.36,29.49,0.6666666666666666,37
Southampton,1402,50.0,70.0,30.34,0.0667,0.0667,40
Leeds United, 1522,51,71,39.59,25.68,0.1333,35
Leicester City, 1591, 52, 62, 34.04, 26.19, 0.4666, 49
