Season,Team,Games,Saves,Goals Conceded,Clean Sheets,Saves per game,Goals Conceded per game,Clean Sheets per game,Saves%,Save Rate
1994-1995,Sheffield Weds,42,138.0,57.0,12.0,3.2857142857142856,1.3571428571428572,0.2857142857142857,0.7076923076923077,0.7076923076923077
1994-1995,Wimbledon,42,146.0,65.0,12.0,3.4761904761904763,1.5476190476190477,0.2857142857142857,0.6919431279620853,0.6919431279620853
1994-1995,Tottenham,42,123.0,58.0,11.0,2.9285714285714284,1.380952380952381,0.2619047619047619,0.6795580110497238,0.6795580110497238
1995-1996,Southampton,38,140,52,10,3.6842105263157894,1.368421052631579,0.2631578947368421,0.7291666666666666,0.7291666666666666
1995-1996,Leeds United,38,140,57,10,3.6842105263157894,1.5,0.2631578947368421,0.7106598984771574,0.7106598984771574
1995-1996,Aston Villa,38,118,35,13,3.1052631578947367,0.9210526315789473,0.34210526315789475,0.7712418300653595,0.7712418300653595
1995-1996,Bolton,38,145,71,4,3.8157894736842106,1.868421052631579,0.10526315789473684,0.6712962962962963,0.6712962962962963
1995-1996,Nott'ham Forest,38,119,54,8,3.1315789473684212,1.4210526315789473,0.21052631578947367,0.6878612716763006,0.6878612716763006
1995-1996,West Ham,38,119,52,11,3.1315789473684212,1.368421052631579,0.2894736842105263,0.695906432748538,0.695906432748538
1995-1996,Coventry City,38,145,60,10,3.8157894736842106,1.5789473684210527,0.2631578947368421,0.7073170731707317,0.7073170731707317
1995-1996,Blackburn,38,114,47,10,3.0,1.236842105263158,0.2631578947368421,0.7080745341614907,0.7080745341614907
1995-1996,Wimbledon,38,152,70,6,4.0,1.8421052631578947,0.15789473684210525,0.6846846846846847,0.6846846846846847
1995-1996,Newcastle Utd,38,123,37,13,3.236842105263158,0.9736842105263158,0.34210526315789475,0.76875,0.76875
1995-1996,Chelsea,38,128,44,12,3.3684210526315788,1.1578947368421053,0.3157894736842105,0.7441860465116279,0.7441860465116279
1995-1996,Manchester City,38,145,58,8,3.8157894736842106,1.5263157894736843,0.21052631578947367,0.7142857142857143,0.7142857142857143
1995-1996,Liverpool,38,132,34,16,3.473684210526316,0.8947368421052632,0.42105263157894735,0.7951807228915663,0.7951807228915663
1995-1996,Middlesbrough,38,137,50,10,3.6052631578947367,1.3157894736842106,0.2631578947368421,0.732620320855615,0.732620320855615
1995-1996,Sheffield Weds,38,147,61,6,3.8684210526315788,1.605263157894737,0.15789473684210525,0.7067307692307693,0.7067307692307693
1995-1996,Manchester Utd,38,119,35,18,3.1315789473684212,0.9210526315789473,0.47368421052631576,0.7727272727272727,0.7727272727272727
1995-1996,QPR,38,151,57,5,3.973684210526316,1.5,0.13157894736842105,0.7259615384615384,0.7259615384615384
1995-1996,Arsenal,38,125,32,16,3.289473684210526,0.8421052631578947,0.42105263157894735,0.7961783439490446,0.7961783439490446
1995-1996,Everton,38,125,44,15,3.289473684210526,1.1578947368421053,0.39473684210526316,0.7396449704142012,0.7396449704142012
1995-1996,Tottenham,38,126,38,11,3.3157894736842106,1.0,0.2894736842105263,0.7682926829268293,0.7682926829268293
1996-1997,Tottenham,38,163.0,51,13,4.2894736842105265,1.3421052631578947,0.34210526315789475,0.7616822429906542,0.7616822429906542
1996-1997,Southampton,38,161.0,57,11,4.2368421052631575,1.5,0.2894736842105263,0.7385321100917431,0.7385321100917431
1996-1997,Leeds United,38,143.0,38,20,3.763157894736842,1.0,0.5263157894736842,0.7900552486187845,0.7900552486187845
1996-1997,Aston Villa,38,129.0,34,15,3.3947368421052633,0.8947368421052632,0.39473684210526316,0.7914110429447853,0.7914110429447853
1996-1997,Chelsea,38,nan,60,10,nan,1.5789473684210527,0.2631578947368421,0,0
1996-1997,Sunderland,38,159.0,53,11,4.184210526315789,1.394736842105263,0.2894736842105263,0.75,0.75
1996-1997,Nott'ham Forest,38,144.0,59,8,3.789473684210526,1.5526315789473684,0.21052631578947367,0.7093596059113301,0.7093596059113301
1996-1997,Manchester Utd,38,131.0,44,15,3.4473684210526314,1.1578947368421053,0.39473684210526316,0.7485714285714286,0.7485714285714286
1996-1997,Blackburn,38,140.0,43,11,3.6842105263157894,1.131578947368421,0.2894736842105263,0.7650273224043715,0.7650273224043715
1996-1997,Everton,38,141.0,57,10,3.710526315789474,1.5,0.2631578947368421,0.7121212121212122,0.7121212121212122
1996-1997,Arsenal,38,124.0,32,16,3.263157894736842,0.8421052631578947,0.42105263157894735,0.7948717948717948,0.7948717948717948
1996-1997,Wimbledon,38,166.0,46,11,4.368421052631579,1.2105263157894737,0.2894736842105263,0.7830188679245284,0.7830188679245284
1996-1997,Newcastle Utd,38,148.0,40,12,3.8947368421052633,1.0526315789473684,0.3157894736842105,0.7872340425531915,0.7872340425531915
1996-1997,Derby County,38,144.0,55,8,3.789473684210526,1.4473684210526316,0.21052631578947367,0.7236180904522613,0.7236180904522613
1996-1997,Liverpool,38,161.0,37,12,4.2368421052631575,0.9736842105263158,0.3157894736842105,0.8131313131313131,0.8131313131313131
1996-1997,Leicester City,38,149.0,54,9,3.9210526315789473,1.4210526315789473,0.23684210526315788,0.7339901477832512,0.7339901477832512
1996-1997,West Ham,38,163.0,48,10,4.2894736842105265,1.263157894736842,0.2631578947368421,0.7725118483412322,0.7725118483412322
1996-1997,Middlesbrough,38,165.0,60,6,4.342105263157895,1.5789473684210527,0.15789473684210525,0.7333333333333333,0.7333333333333333
1996-1997,Coventry City,38,162.0,54,9,4.2631578947368425,1.4210526315789473,0.23684210526315788,0.75,0.75
1996-1997,Sheffield Weds,38,165.0,51,10,4.342105263157895,1.3421052631578947,0.2631578947368421,0.7638888888888888,0.7638888888888888
1997-1998,Leicester City,38,153,41,15,4.026315789473684,1.0789473684210527,0.39473684210526316,0.788659793814433,0.788659793814433
