Team,xG,xGA,Season
Watford	,39.34,67.53,2021/2022
Norwich	,31.51,80.08,2021/2022
Manchester City,85.04,34.21,2022/2023
Arsenal,76.53,45.16,2022/2023
Manchester United,76.80,51.26,2022/2023
Newcastle United,71.67,41.86,2022/2023
Liverpool,81.87,55.77,2022/2023
Brighton,70.86,50.15,2022/2023
Aston Villa,54.37,53.96,2022/2023
Tottenham,57.60,51.66,2022/2023
Brentford,58.26,51.45,2022/2023
Fulham,39.24,71.49,2022/2023
Crystal Palace,44.24,61.83,2022/2023
Chelsea,52.28,54.02,2022/2023
Wolverhampton Wanderers,35.01,62.68,2022/2023
West Ham,51.62,55.31,2022/2023
Bournemouth,35.05,87.60,2022/2023
Nottingham Forest,35.05,68.46,2022/2023
Everton,40.71,68.58,2022/2023
Leeds,40.58,69.58,2022/2023
Leicester,46.07,66.76,2022/2023
Southampton,36.47,82.90,2022/2023
Manchester City,89.55,37.27,2023/2024
Arsenal,84.39,31.78,2023/2024
Liverpool,94.79,47.40,2023/2024
Aston Villa,67.42,65.08,2023/2024
Tottenham,73.35,68.07,2023/2024
Chelsea,80.88,62.60,2023/2024
Newcastle United,84.48,62.46,2023/2024
Manchester United,60.33,74.76,2023/2024
West Ham,54.55,77.91,2023/2024
Crystal Palace,53.94,57.99,2023/2024
Brighton,61.91,60.94,2023/2024
Everton,60.75,60.26,2023/2024
Bournemouth,63.78,65.51,2023/2024
Fulham,52.81,66.90,2023/2024
Wolverhampton Wanderers,50.65,76.11,2023/2024
Brentford,64.29,60.26,2023/2024
Nottingham Forest,52.16,56.25,2023/2024
Luton,49.87,91.65,2023/2024
Burnley,43.44,75.72,2023/2024
Sheffield United,41.31,85.71,2023/2024
