Home Team,Away Team,Home Team ELO,Away Team ELO,Home Team Win Percentage,Home Team Draw Percentage,Away Team Win Percentage,Away Team Draw Percentage,Winner
Sunderland,Chelsea,1441,1522,33.33,27.38,39.51,30.56,1
Leeds United,Charlton Ath,1498,1329,40.87,28.79,23.91,32.61,1
Coventry City,Tottenham,1385,1396,28.7,32.1,34.57,28.4,1
Ipswich Town,West Ham,1167,1428,23.13,29.85,34.75,26.95,0
Arsenal,Aston Villa,1610,1486,47.22,29.01,40.87,27.55,1
Leicester City,Manchester Utd,1483,1693,31.19,29.7,61.73,25.62,-1
Derby County,Liverpool,1344,1511,30.63,30.63,45.68,26.54,-1
Middlesbrough,Newcastle Utd,1434,1483,29.7,30.69,44.68,25.53,-1
West Ham,Arsenal,1420,1618,34.63,27.21,47.38,28.92,-1
Liverpool,Leicester City,1526,1468,45.85,26.46,31.03,29.56,1
Bradford City,Ipswich Town,1280,1189,21.28,25.53,22.96,30.37,-1
Tottenham,Derby County,1410,1330,34.46,28.31,30.43,30.43,1
Charlton Ath,Middlesbrough,1350,1413,23.4,31.91,29.56,30.54,1
Manchester Utd,Leeds United,1701,1490,61.85,25.54,41.05,28.7,1
Newcastle Utd,Everton,1463,1415,44.88,25.44,30.46,29.23,-1
Chelsea,Coventry City,1532,1375,39.38,30.46,28.92,32.0,1
Aston Villa,Sunderland,1484,1443,40.74,27.47,34.12,27.06,0
Southampton,Manchester City,1367,1324,29.23,25.85,27.75,32.37,-1
Arsenal,Manchester City,1623,1319,47.55,28.83,28.16,32.18,1
Chelsea,Tottenham,1543,1399,39.57,30.37,34.66,28.22,1
Aston Villa,Charlton Ath,1494,1340,40.62,27.69,25.0,31.25,1
Ipswich Town,Middlesbrough,1214,1388,23.53,30.15,29.41,30.39,1
West Ham,Newcastle Utd,1438,1445,34.51,27.11,44.72,25.35,1
Leicester City,Derby County,1478,1320,30.88,29.41,30.25,30.25,1
Sunderland,Coventry City,1456,1362,33.72,27.91,28.83,31.9,1
Manchester Utd,Southampton,1705,1363,61.96,25.46,29.14,25.77,1
Liverpool,Everton,1537,1404,46.01,26.38,30.67,29.14,1
Bradford City,Leeds United,1289,1481,20.83,25.0,40.92,28.62,0
Newcastle Utd,Ipswich Town,1452,1207,44.56,25.26,24.09,29.93,1
Southampton,Chelsea,1387,1519,29.05,25.69,39.76,30.28,1
Coventry City,Manchester Utd,1358,1709,28.75,31.8,62.08,25.38,-1
Middlesbrough,Arsenal,1381,1630,29.27,30.24,47.71,28.75,-1
Tottenham,Sunderland,1418,1437,34.56,28.13,34.48,27.59,1
Leeds United,Liverpool,1500,1518,40.8,28.83,46.18,26.3,1
Manchester City,Leicester City,1310,1487,28.0,32.0,31.22,29.27,-1
Charlton Ath,Bradford City,1354,1275,24.49,30.61,20.41,26.53,1
Everton,Aston Villa,1392,1506,30.58,29.05,40.8,27.61,-1
Derby County,West Ham,1325,1433,30.06,30.06,34.74,27.02,0
Bradford City,Everton,1264,1403,20.0,26.0,30.49,28.96,-1
Leicester City,Newcastle Utd,1485,1454,31.55,29.13,44.76,25.17,0
Ipswich Town,Charlton Ath,1229,1332,23.91,29.71,26.0,30.0,1
Sunderland,Southampton,1435,1389,34.09,27.27,29.27,25.61,0
Aston Villa,Tottenham,1518,1406,40.98,27.52,34.76,28.05,1
Arsenal,Derby County,1619,1336,47.87,28.66,29.88,30.49,0
West Ham,Manchester City,1444,1299,34.62,27.27,27.84,31.82,1
Manchester Utd,Middlesbrough,1713,1377,62.2,25.3,29.13,30.1,1
Liverpool,Coventry City,1527,1349,46.04,26.22,28.66,31.71,1
Chelsea,Leeds United,1518,1501,39.63,30.18,40.98,28.75,0
Middlesbrough,Leicester City,1366,1496,28.99,29.95,31.4,29.47,-1
Everton,Arsenal,1428,1594,30.7,28.88,47.72,28.88,1
Southampton,Aston Villa,1411,1496,29.18,25.84,41.16,27.44,1
Derby County,Bradford City,1349,1251,29.7,30.91,19.61,25.49,1
Manchester City,Manchester Utd,1296,1716,27.68,31.64,62.31,25.23,-1
Newcastle Utd,Sunderland,1437,1452,44.6,25.44,33.71,28.09,-1
Leeds United,West Ham,1482,1463,40.85,28.96,34.84,27.18,-1
Charlton Ath,Chelsea,1356,1494,25.49,29.41,39.51,30.4,1
Tottenham,Liverpool,1427,1506,34.65,27.96,46.2,26.14,1
Coventry City,Ipswich Town,1328,1250,28.57,31.61,24.46,29.5,-1
Coventry City,Aston Villa,1335,1489,28.48,31.52,41.03,27.36,0
Middlesbrough,Bradford City,1361,1256,28.85,29.81,19.23,25.0,0
Tottenham,Leicester City,1446,1477,34.85,27.88,31.73,29.33,1
Everton,Chelsea,1447,1475,30.91,28.79,39.39,30.3,1
Derby County,Manchester Utd,1346,1719,30.12,30.72,62.42,25.15,-1
Southampton,West Ham,1397,1477,29.39,25.76,35.07,27.08,-1
Manchester City,Ipswich Town,1278,1268,27.53,31.46,25.0,29.29,-1
Charlton Ath,Sunderland,1344,1464,26.92,28.85,34.44,27.78,-1
Leeds United,Arsenal,1503,1573,40.73,28.88,47.58,28.79,1
Newcastle Utd,Liverpool,1456,1487,44.44,25.35,46.06,26.06,1
Aston Villa,Newcastle Utd,1487,1458,40.91,27.58,44.64,25.26,0
Arsenal,Southampton,1582,1388,47.43,28.7,29.31,25.68,1
Manchester Utd,Tottenham,1725,1440,62.54,25.08,35.05,27.79,1
West Ham,Middlesbrough,1488,1350,35.29,26.99,28.71,30.14,1
Ipswich Town,Derby County,1256,1358,25.53,29.08,29.94,30.54,-1
Liverpool,Charlton Ath,1497,1334,45.92,25.98,26.42,28.3,1
Bradford City,Coventry City,1276,1315,18.87,26.42,28.4,31.72,1
Leicester City,Leeds United,1494,1486,31.58,29.19,40.91,28.79,1
Chelsea,Manchester City,1483,1270,39.27,30.21,27.37,31.28,1
Sunderland,Everton,1479,1432,35.16,27.47,31.12,28.7,1
Charlton Ath,Manchester Utd,1347,1712,25.93,27.78,62.65,25.0,0
West Ham,Aston Villa,1488,1487,35.52,26.9,40.79,27.79,0
Chelsea,Derby County,1493,1348,39.46,30.12,30.36,30.36,1
Arsenal,Newcastle Utd,1593,1447,47.59,28.61,44.48,25.52,1
Sunderland,Middlesbrough,1489,1340,35.87,27.17,28.57,30.0,1
Southampton,Leeds United,1408,1466,29.22,25.6,40.79,28.7,1
Manchester City,Everton,1293,1409,27.22,31.11,31.02,28.61,1
Bradford City,Tottenham,1283,1433,20.37,25.93,34.94,27.71,0
Liverpool,Ipswich Town,1471,1282,46.08,25.9,25.35,28.87,-1
Coventry City,Leicester City,1339,1470,28.31,31.63,31.9,29.05,1
Leeds United,Sunderland,1483,1472,40.66,28.61,36.56,26.88,1
Derby County,Coventry City,1364,1323,30.18,30.18,28.53,31.53,1
Newcastle Utd,Bradford City,1456,1274,44.33,25.43,20.0,27.27,1
Ipswich Town,Southampton,1304,1386,25.87,28.67,29.43,25.53,1
Leicester City,Charlton Ath,1481,1336,31.75,28.91,25.45,29.09,1
Everton,West Ham,1413,1484,30.93,28.53,35.4,27.15,0
Middlesbrough,Chelsea,1363,1470,28.44,29.86,39.64,30.03,1
Aston Villa,Manchester City,1479,1301,40.66,28.01,27.62,30.94,0
Manchester Utd,Liverpool,1686,1497,62.46,25.23,45.95,25.83,-1
Tottenham,Arsenal,1440,1586,34.83,27.93,47.75,28.53,0
Coventry City,Southampton,1326,1383,28.44,31.44,29.34,25.45,0
Derby County,Newcastle Utd,1384,1436,30.59,30.0,44.52,25.34,1
Charlton Ath,Everton,1355,1394,25.0,28.57,30.84,28.74,1
Manchester Utd,Ipswich Town,1689,1301,62.28,25.15,26.39,28.47,1
Liverpool,Arsenal,1517,1566,46.11,25.75,47.6,28.74,1
Leicester City,West Ham,1497,1468,32.08,28.77,35.27,27.4,1
Leeds United,Aston Villa,1467,1495,40.84,28.53,40.54,28.23,-1
Sunderland,Manchester City,1481,1292,36.17,26.6,27.47,31.32,1
Tottenham,Middlesbrough,1437,1366,34.73,28.14,28.77,29.72,0
Chelsea,Bradford City,1478,1266,39.52,29.94,19.64,26.79,1
Bradford City,Sunderland,1259,1488,19.3,26.32,36.84,26.32,-1
Manchester City,Derby County,1296,1380,27.32,31.15,30.99,29.82,0
Ipswich Town,Chelsea,1309,1470,26.21,28.28,39.7,29.85,0
Arsenal,Leicester City,1579,1484,47.46,28.66,32.39,28.64,1
Newcastle Utd,Leeds United,1453,1450,44.37,25.26,40.72,28.44,1
West Ham,Charlton Ath,1479,1344,35.15,27.3,26.32,28.07,1
Middlesbrough,Liverpool,1389,1494,28.64,30.05,46.27,25.67,1
Everton,Coventry City,1375,1345,30.75,28.66,28.36,31.64,-1
Aston Villa,Manchester Utd,1487,1697,40.72,28.14,62.39,25.07,-1
Southampton,Tottenham,1401,1419,29.25,25.67,34.63,28.36,1
Ipswich Town,Tottenham,1330,1398,26.03,28.77,34.52,28.27,1
Arsenal,Sunderland,1575,1492,47.62,28.57,37.5,26.04,0
Manchester City,Charlton Ath,1282,1358,27.17,31.52,25.86,27.59,-1
Middlesbrough,Coventry City,1387,1347,28.97,29.91,28.57,31.55,0
Southampton,Derby County,1416,1365,29.46,25.6,30.81,30.23,1
Newcastle Utd,Manchester Utd,1463,1687,44.56,25.17,62.5,25.0,0
Chelsea,Aston Villa,1487,1470,39.58,30.06,40.6,28.06,1
Derby County,Everton,1381,1359,30.64,30.06,30.65,28.57,1
Liverpool,Southampton,1506,1404,46.13,25.6,29.67,25.52,1
Leicester City,Bradford City,1459,1284,32.24,28.5,18.97,25.86,-1
Leeds United,Middlesbrough,1447,1390,40.6,28.36,28.84,30.23,0
Coventry City,Manchester City,1344,1285,28.49,31.75,27.03,31.35,0
Charlton Ath,Arsenal,1383,1550,27.12,27.12,47.48,28.78,1
Manchester Utd,West Ham,1694,1472,62.31,25.22,35.37,27.21,1
Sunderland,Ipswich Town,1501,1321,37.11,26.8,26.53,28.57,1
Tottenham,Newcastle Utd,1417,1444,34.42,28.19,44.41,25.42,1
Everton,Tottenham,1362,1414,30.56,28.49,34.62,28.11,0
Aston Villa,Liverpool,1456,1520,40.48,27.98,46.29,25.52,-1
Newcastle Utd,Coventry City,1456,1332,44.26,25.34,28.4,31.95,1
Arsenal,Chelsea,1547,1490,47.34,28.7,39.76,29.97,0
West Ham,Sunderland,1457,1516,35.25,27.12,37.76,26.53,-1
Middlesbrough,Derby County,1406,1365,28.7,30.56,31.03,29.89,1
Southampton,Charlton Ath,1403,1384,29.59,25.44,28.33,26.67,0
Manchester City,Leeds United,1276,1456,26.88,31.72,40.48,28.57,-1
Bradford City,Manchester Utd,1281,1697,20.34,25.42,62.43,25.15,-1
Ipswich Town,Leicester City,1343,1437,26.35,28.38,32.09,28.37,1
Chelsea,Ipswich Town,1500,1333,39.64,30.18,26.85,28.19,1
Coventry City,Everton,1317,1377,28.32,31.86,30.47,28.7,-1
Derby County,Manchester City,1361,1280,30.86,29.71,26.74,31.55,0
Tottenham,Southampton,1413,1404,34.51,28.32,29.5,25.66,0
Leeds United,Newcastle Utd,1440,1472,40.65,28.49,44.44,25.25,-1
Manchester Utd,Aston Villa,1703,1450,62.54,25.07,40.36,27.89,1
Leicester City,Arsenal,1442,1542,31.94,28.24,47.2,28.91,0
Liverpool,Middlesbrough,1515,1411,46.45,25.44,29.03,30.41,0
Sunderland,Bradford City,1507,1290,38.38,26.26,20.0,25.0,0
Charlton Ath,West Ham,1387,1454,27.87,27.87,35.14,27.03,0
Aston Villa,Leeds United,1434,1456,40.24,27.81,40.53,28.4,-1
Charlton Ath,Derby County,1402,1346,27.42,29.03,30.68,30.11,1
Arsenal,Bradford City,1548,1284,47.06,29.12,19.67,26.23,1
Everton,Middlesbrough,1379,1409,30.68,28.61,28.9,30.73,0
Chelsea,Newcastle Utd,1515,1457,39.82,30.09,44.63,25.17,1
Leeds United,Coventry City,1466,1307,40.71,28.32,28.24,31.76,1
West Ham,Tottenham,1452,1415,35.02,27.27,34.41,28.53,0
Manchester City,Liverpool,1289,1506,26.6,31.91,46.31,25.66,0
Southampton,Leicester City,1422,1424,29.41,25.88,31.8,28.57,1
Sunderland,Manchester Utd,1499,1711,38.0,27.0,62.65,25.0,-1
Tottenham,Charlton Ath,1414,1403,34.31,28.74,28.57,28.57,0
Derby County,Sunderland,1369,1476,30.51,29.94,37.62,26.73,1
Leicester City,Chelsea,1444,1495,31.65,28.44,40.0,30.0,1
Coventry City,Arsenal,1301,1554,28.15,31.67,47.21,29.03,-1
Liverpool,West Ham,1520,1438,46.18,25.88,34.9,27.52,1
Bradford City,Aston Villa,1275,1443,19.35,25.81,40.12,27.73,-1
Manchester Utd,Everton,1715,1375,62.76,24.93,30.59,28.82,1
Ipswich Town,Leeds United,1323,1476,26.67,28.0,40.88,28.24,-1
Middlesbrough,Manchester City,1404,1294,28.77,31.05,26.46,32.28,0
Everton,Leeds United,1380,1471,30.5,28.74,41.06,28.15,0
Sunderland,Liverpool,1478,1518,37.25,26.47,46.33,25.81,0
Aston Villa,Middlesbrough,1441,1406,40.29,27.65,28.64,31.36,0
Manchester City,Tottenham,1283,1425,26.32,32.63,34.21,28.95,-1
Everton,Leicester City,1399,1425,30.41,28.95,31.96,28.31,1
Southampton,Bradford City,1432,1265,29.62,25.81,19.05,25.4,1
Leeds United,Derby County,1466,1374,40.94,28.36,30.9,29.78,0
Chelsea,Manchester Utd,1504,1706,39.88,29.91,62.87,24.85,0
Arsenal,Ipswich Town,1561,1316,47.37,28.95,26.49,27.81,1
Charlton Ath,Newcastle Utd,1421,1439,28.12,29.69,44.48,25.08,1
West Ham,Coventry City,1432,1307,34.78,27.42,28.07,31.58,0
Leicester City,Sunderland,1443,1460,31.82,28.18,36.89,27.18,1
Coventry City,Charlton Ath,1312,1416,27.99,31.78,29.23,29.23,0
Middlesbrough,Southampton,1391,1447,28.51,31.67,29.82,25.73,-1
Tottenham,Leeds United,1411,1480,34.4,28.86,40.82,28.57,-1
Newcastle Utd,Manchester City,1416,1306,44.33,25.0,26.18,32.46,-1
Derby County,Aston Villa,1393,1422,30.73,30.17,40.18,27.86,1
Bradford City,West Ham,1256,1441,18.75,25.0,34.67,27.67,-1
Ipswich Town,Everton,1336,1379,26.32,27.63,30.61,28.86,1
Manchester Utd,Arsenal,1716,1551,62.68,25.07,47.52,28.86,1
Leicester City,Liverpool,1462,1499,32.13,28.05,46.2,26.02,1
Middlesbrough,Charlton Ath,1392,1415,28.38,31.53,28.79,30.3,0
Manchester City,Southampton,1296,1457,26.56,32.29,30.03,25.66,-1
Everton,Newcastle Utd,1381,1414,30.52,28.78,44.19,24.92,0
Arsenal,West Ham,1562,1430,47.38,28.78,34.88,27.57,1
Coventry City,Chelsea,1320,1496,27.91,31.98,39.77,30.12,0
Derby County,Tottenham,1410,1394,31.11,30.0,34.3,28.78,1
Leeds United,Manchester Utd,1489,1707,40.99,28.49,62.79,25.0,0
Ipswich Town,Bradford City,1348,1244,26.8,27.45,18.46,24.62,1
Sunderland,Aston Villa,1458,1424,36.54,26.92,40.06,27.78,0
West Ham,Chelsea,1417,1509,34.77,27.48,39.65,30.32,-1
Aston Villa,Ipswich Town,1437,1335,39.94,27.99,27.27,27.27,1
Tottenham,Coventry City,1407,1307,34.2,28.7,27.83,32.17,1
Manchester Utd,Leicester City,1713,1456,62.61,25.22,32.43,27.93,1
Newcastle Utd,Middlesbrough,1397,1409,44.04,25.17,28.25,31.84,-1
Bradford City,Manchester City,1246,1294,18.18,24.24,26.42,32.12,0
West Ham,Ipswich Town,1397,1355,34.65,27.39,27.1,27.1,-1
Southampton,Everton,1470,1368,30.23,25.58,30.43,28.99,1
Charlton Ath,Leeds United,1402,1502,28.36,31.34,40.87,28.7,-1
Chelsea,Sunderland,1491,1476,39.83,30.23,36.19,27.62,-1
Liverpool,Derby County,1495,1414,46.06,25.95,31.49,29.83,0
Aston Villa,Arsenal,1443,1556,40.12,27.91,47.54,28.7,0
Bradford City,Newcastle Utd,1253,1390,17.91,25.37,43.89,25.08,0
Coventry City,Derby County,1328,1393,27.75,32.08,31.32,30.22,1
Liverpool,Manchester Utd,1520,1688,45.93,26.16,62.72,25.14,1
Manchester City,Aston Villa,1284,1453,26.29,32.47,40.0,28.12,-1
Chelsea,Middlesbrough,1503,1397,39.71,30.14,28.57,31.7,1
Sunderland,Leeds United,1461,1517,36.79,27.36,41.04,28.61,-1
Arsenal,Tottenham,1566,1397,47.4,28.9,34.39,28.61,1
West Ham,Everton,1380,1385,34.54,27.3,30.35,28.9,-1
Charlton Ath,Leicester City,1420,1438,27.94,30.88,32.29,27.8,1
Southampton,Ipswich Town,1449,1376,30.43,25.51,27.56,26.92,-1
Aston Villa,Leicester City,1468,1423,40.17,28.03,32.14,27.68,1
Leeds United,Southampton,1530,1436,41.21,28.53,30.35,25.43,1
Derby County,Chelsea,1382,1514,31.15,30.05,39.88,30.06,-1
Aston Villa,West Ham,1464,1384,40.35,27.95,34.43,27.21,0
Leicester City,Coventry City,1403,1348,32.0,27.56,27.95,31.99,-1
Everton,Manchester City,1396,1273,30.55,28.82,26.15,32.31,1
Middlesbrough,Sunderland,1400,1458,28.44,31.56,36.45,27.1,0
Ipswich Town,Liverpool,1382,1514,28.03,26.75,46.09,26.09,0
Manchester Utd,Charlton Ath,1694,1414,62.54,25.07,28.99,30.43,1
Tottenham,Bradford City,1407,1243,34.29,28.53,17.65,26.47,1
Manchester City,Arsenal,1268,1571,26.02,32.14,47.55,28.82,-1
Bradford City,Charlton Ath,1266,1391,17.39,26.09,28.57,30.0,1
Liverpool,Leeds United,1499,1545,45.95,26.3,41.38,28.45,-1
Manchester Utd,Coventry City,1698,1344,62.64,25.0,28.16,31.9,1
Chelsea,Southampton,1526,1424,40.06,29.97,30.26,25.36,1
West Ham,Derby County,1400,1366,34.31,27.45,30.98,29.89,1
Leicester City,Manchester City,1381,1290,31.86,27.43,25.89,31.98,-1
Aston Villa,Everton,1477,1383,40.23,28.16,30.75,28.74,1
Sunderland,Tottenham,1440,1425,36.11,27.78,34.48,28.45,-1
Ipswich Town,Newcastle Utd,1398,1374,27.85,27.22,43.75,25.33,1
Arsenal,Middlesbrough,1548,1423,47.7,28.74,28.32,31.86,-1
Derby County,Leicester City,1383,1364,30.81,29.73,31.72,27.31,1
Coventry City,Sunderland,1364,1420,28.08,31.81,35.78,27.52,1
Newcastle Utd,West Ham,1391,1383,43.61,25.25,34.53,27.36,1
Middlesbrough,Ipswich Town,1406,1415,28.63,31.72,28.3,27.04,-1
Everton,Liverpool,1372,1510,30.66,28.65,45.82,26.22,-1
Tottenham,Chelsea,1414,1537,34.67,28.37,40.23,29.89,-1
Charlton Ath,Aston Villa,1395,1473,28.17,29.58,40.4,28.08,0
Manchester Utd,Manchester City,1685,1303,62.75,24.93,26.26,31.82,0
Aston Villa,Southampton,1471,1426,40.29,28.29,30.17,25.29,0
Bradford City,Derby County,1287,1362,18.57,25.71,31.18,29.57,1
Chelsea,Charlton Ath,1515,1417,40.4,29.8,27.78,30.56,-1
Leicester City,Middlesbrough,1350,1420,31.58,27.19,28.51,31.58,-1
Ipswich Town,Coventry City,1429,1350,28.75,26.88,28.29,31.71,1
West Ham,Leeds United,1374,1554,34.42,27.27,41.55,28.37,-1
Arsenal,Everton,1557,1363,47.56,28.65,30.57,28.57,1
Sunderland,Newcastle Utd,1419,1392,35.45,27.27,43.79,25.16,0
Liverpool,Tottenham,1522,1402,45.98,26.15,34.57,28.29,1
Manchester City,West Ham,1322,1355,26.13,32.16,34.3,27.18,1
Derby County,Arsenal,1354,1565,31.02,29.41,47.71,28.57,-1
Coventry City,Liverpool,1341,1531,28.21,31.62,46.13,26.07,-1
Tottenham,Aston Villa,1405,1468,34.47,28.21,40.17,28.49,0
Leeds United,Chelsea,1568,1501,41.71,28.29,40.29,29.71,1
Newcastle Utd,Leicester City,1406,1336,43.65,25.41,31.44,27.07,1
Southampton,Sunderland,1410,1435,30.09,25.5,35.14,27.93,-1
Everton,Bradford City,1376,1274,30.48,28.49,19.72,25.35,1
Middlesbrough,Manchester Utd,1414,1691,28.82,31.44,62.57,25.14,-1
Charlton Ath,Ipswich Town,1434,1412,28.77,30.14,29.19,26.71,1
Bradford City,Liverpool,1268,1537,19.44,25.0,46.29,26.0,-1
Newcastle Utd,Southampton,1406,1410,43.83,25.32,30.0,25.43,0
Arsenal,Leeds United,1581,1552,47.86,28.49,41.88,28.21,1
Chelsea,Everton,1511,1366,40.17,29.63,30.68,28.41,1
Manchester Utd,Derby County,1663,1382,62.68,25.07,30.85,29.26,-1
Liverpool,Newcastle Utd,1547,1396,46.44,25.93,43.69,25.57,1
Leicester City,Tottenham,1355,1386,31.3,26.96,34.38,28.41,1
Aston Villa,Coventry City,1478,1331,40.06,28.69,28.12,31.53,1
Bradford City,Middlesbrough,1274,1408,19.18,24.66,28.7,31.3,0
West Ham,Southampton,1374,1391,34.19,27.1,29.91,25.64,1
Sunderland,Charlton Ath,1451,1418,35.71,27.68,29.73,29.73,1
Ipswich Town,Manchester City,1424,1310,29.01,26.54,26.5,32.0,1
Liverpool,Chelsea,1545,1513,46.59,25.85,40.34,29.55,0
Leeds United,Bradford City,1557,1269,41.76,28.12,18.92,25.68,1
Southampton,Manchester Utd,1417,1637,29.83,25.57,62.5,25.0,1
Newcastle Utd,Arsenal,1404,1573,43.55,25.48,48.01,28.41,0
Middlesbrough,West Ham,1422,1360,28.57,31.6,34.41,27.01,1
Charlton Ath,Liverpool,1408,1555,29.33,29.33,46.46,26.06,-1
Manchester City,Chelsea,1302,1521,26.37,31.84,40.23,29.75,-1
Tottenham,Manchester Utd,1412,1611,34.28,28.33,62.32,24.93,1
Derby County,Ipswich Town,1384,1422,31.22,29.1,29.45,26.38,0
Everton,Sunderland,1370,1447,30.59,28.33,36.28,27.43,0
Coventry City,Bradford City,1328,1272,28.05,31.44,18.67,25.33,0
Leeds United,Leicester City,1565,1347,41.93,28.05,31.6,26.84,1
Newcastle Utd,Aston Villa,1423,1459,43.41,25.72,40.23,28.61,1
Southampton,Arsenal,1440,1550,30.03,25.5,47.88,28.61,1
Middlesbrough,Arsenal,1412,1560,28.88,31.47,47.74,28.53,-1
Liverpool,West Ham,1563,1352,46.61,25.99,34.29,26.92,1
Charlton Ath,Everton,1390,1388,28.95,28.95,30.51,28.53,-1
Leicester City,Bolton,1326,1265,31.47,26.72,22.37,23.68,-1
Leeds United,Southampton,1575,1430,42.09,27.97,30.23,25.42,1
Sunderland,Ipswich Town,1462,1407,35.96,28.07,29.27,26.83,1
Derby County,Blackburn,1396,1276,31.05,29.47,43.88,26.62,1
Tottenham,Aston Villa,1414,1457,34.46,28.25,40.11,28.53,0
Manchester Utd,Fulham,1612,1049,62.15,24.86,0,0,1
Chelsea,Newcastle Utd,1517,1427,40.4,29.66,43.59,25.64,0
Everton,Tottenham,1389,1413,30.7,28.45,34.37,28.45,0
Bolton,Middlesbrough,1287,1390,23.38,23.38,28.76,31.33,1
Arsenal,Leeds United,1545,1590,47.89,28.45,42.25,27.89,-1
Ipswich Town,Derby County,1422,1381,29.09,26.67,31.41,29.32,1
Fulham,Sunderland,1078,1433,0.0,0.0,36.52,27.83,1
Blackburn,Manchester Utd,1288,1600,43.73,26.52,62.25,24.79,0
Ipswich Town,Charlton Ath,1405,1407,29.52,26.51,28.57,28.57,-1
Blackburn,Tottenham,1310,1391,43.57,26.79,34.27,28.65,1
West Ham,Leeds United,1362,1580,34.19,26.84,42.42,27.81,0
Fulham,Derby County,1089,1370,50.0,0.0,31.25,29.17,0
Everton,Middlesbrough,1405,1374,30.62,28.65,28.63,31.2,1
Arsenal,Leicester City,1552,1319,47.75,28.37,31.33,26.61,1
Southampton,Chelsea,1418,1529,30.14,25.35,40.28,29.86,-1
Aston Villa,Manchester Utd,1463,1594,40.0,28.73,62.08,25.0,0
Newcastle Utd,Sunderland,1427,1433,43.45,25.88,36.21,27.59,0
Bolton,Liverpool,1314,1536,24.36,23.08,46.76,25.92,1
Leicester City,Ipswich Town,1323,1401,31.2,26.5,29.34,26.35,0
Derby County,West Ham,1370,1362,31.09,29.53,34.08,27.07,0
Liverpool,Aston Villa,1517,1482,46.63,25.84,39.89,28.93,-1
Chelsea,Arsenal,1530,1551,40.45,29.78,47.9,28.29,0
Leeds United,Bolton,1570,1324,42.3,28.01,25.32,22.78,0
Middlesbrough,Newcastle Utd,1360,1441,28.51,31.06,43.31,26.11,-1
Manchester Utd,Everton,1602,1397,61.9,25.21,30.81,28.57,1
Sunderland,Blackburn,1444,1299,35.9,28.21,43.77,26.69,1
Tottenham,Southampton,1408,1401,34.17,28.57,30.06,25.28,1
Charlton Ath,Fulham,1395,1101,29.49,28.21,33.33,33.33,0
Middlesbrough,West Ham,1376,1346,28.39,30.93,33.97,27.3,1
Fulham,Arsenal,1099,1553,25.0,50.0,47.77,28.49,-1
Newcastle Utd,Manchester Utd,1464,1579,43.49,26.03,62.01,25.14,1
Bolton,Southampton,1311,1414,25.0,23.75,29.97,25.21,-1
Derby County,Leicester City,1352,1341,30.93,29.9,31.06,26.81,-1
Everton,Liverpool,1386,1528,30.73,28.49,46.5,25.77,-1
Ipswich Town,Blackburn,1396,1304,29.17,26.79,43.62,26.6,0
Charlton Ath,Leeds United,1386,1579,29.11,29.11,42.18,28.21,-1
Aston Villa,Sunderland,1480,1446,40.06,28.85,36.44,27.97,0
Tottenham,Chelsea,1397,1541,34.36,28.49,40.34,29.97,-1
Sunderland,Tottenham,1428,1415,36.13,28.57,34.26,28.41,-1
Leicester City,Middlesbrough,1327,1390,31.36,26.69,28.69,30.8,-1
Blackburn,Bolton,1304,1311,43.46,26.86,24.69,23.46,0
Arsenal,Bolton,1543,1321,47.91,28.41,24.39,24.39,0
Liverpool,Tottenham,1539,1404,46.65,25.7,34.44,28.33,1
Leicester City,Fulham,1318,1108,31.22,26.58,20.0,40.0,0
Blackburn,Everton,1324,1366,43.31,27.11,30.64,28.41,1
Sunderland,Charlton Ath,1426,1388,35.83,28.33,28.75,28.75,0
Manchester Utd,Ipswich Town,1587,1388,61.84,25.07,28.99,27.22,1
Chelsea,Middlesbrough,1534,1397,40.5,29.89,28.99,30.67,0
West Ham,Newcastle Utd,1367,1443,33.86,27.22,43.67,25.95,1
Leeds United,Derby County,1586,1345,42.34,28.13,30.77,29.74,1
Southampton,Aston Villa,1401,1493,30.17,25.14,39.94,29.05,-1
Newcastle Utd,Leicester City,1453,1308,43.53,25.87,31.09,26.89,1
Tottenham,Manchester Utd,1396,1595,34.35,28.25,61.94,25.0,-1
Derby County,Arsenal,1337,1551,30.61,29.59,47.78,28.61,-1
Bolton,Sunderland,1310,1437,24.1,25.3,35.54,28.93,-1
Charlton Ath,Leicester City,1400,1296,28.4,29.63,30.96,26.78,1
Everton,West Ham,1382,1351,30.56,28.33,34.07,27.13,1
Middlesbrough,Southampton,1381,1417,28.87,30.96,30.08,25.07,-1
Aston Villa,Blackburn,1502,1315,40.11,28.97,43.51,27.02,1
Ipswich Town,Leeds United,1380,1594,28.82,27.06,42.5,28.06,-1
Fulham,Chelsea,1121,1521,16.67,50.0,40.39,30.08,0
Newcastle Utd,Liverpool,1441,1551,43.71,25.79,46.8,25.63,-1
Southampton,Arsenal,1407,1561,30.28,25.0,47.92,28.53,-1
Liverpool,Leeds United,1553,1592,46.94,25.56,42.66,27.98,0
Ipswich Town,Everton,1380,1382,28.65,26.9,30.75,28.25,0
Chelsea,Leicester City,1528,1289,40.28,30.28,30.83,26.67,1
Sunderland,Manchester Utd,1428,1604,36.07,28.69,62.05,24.93,-1
Bolton,Newcastle Utd,1300,1451,23.81,25.0,43.57,25.71,-1
Charlton Ath,Middlesbrough,1399,1382,29.27,29.27,28.75,30.83,0
