Team,ELO,XG,XGA,Win Percentage,Draw Percentage,Team Form,Team Cumulative Points,Team Form Statistics
Manchester Utd,878,57.0,73.0,60.55,21.94,0.3333333333333333,57,0.24510733899151313
Leicester City,755,49.0,54.0,33.44,25.73,0.2,31,-0.7474038941587612
Everton,789,30.0,60.0,35.78,27.81,0.6666666666666666,48,0.13876684972541253
West Ham,785,36.0,75.0,33.61,25.23,0.2666666666666666,52,-0.02299051422865611
Tottenham,866,85.0,65.0,43.93,23.9,0.2,63,0.10381927109336046
Aston Villa,895,56.0,61.0,35.22,27.88,0.5333333333333333,68,0.15524213679480833
Arsenal,1064,94.0,61.0,54.77,24.04,0.8,86,0.6874438342486274
Crystal Palace,830,56.0,72.0,29.12,26.17,0.8666666666666667,46,0.13127808287568754
Liverpool,1009,99.0,52.0,53.06,24.61,0.5333333333333333,79,0.4742636045931109
Southampton,653,36.0,83.0,30.34,26.76,0.0,24,-0.8272840738891656
Newcastle Utd,881,59.0,57.0,37.69,25.54,0.6666666666666666,57,0.2990264603095367
Manchester City,1124,97.0,55.0,50.92,21.41,1.0,88,0.7368696954568156
Chelsea,906,86.0,64.0,52.65,24.78,0.8666666666666667,60,0.1637294058911639
Bournemouth,760,61.0,66.0,30.19,21.97,0.2666666666666666,48,-0.11235646530204633
Brighton,787,66.0,60.0,29.43,32.08,0.3333333333333333,48,0.04640539191213273
Fulham,776,91.0,61.0,29.3,26.24,0.3333333333333333,44,-0.0055167249126304345
Wolves,742,47.0,73.0,30.08,24.6,0.2666666666666666,46,-0.023989016475286676
Brentford,747,66.0,93.0,33.63,26.55,0.6666666666666666,39,0.0833499750374445
Nottingham Forest,666,74.0,56.0,28.21,29.04,0.2666666666666666,33,-0.26263105341986914
Ipswich Town,500,30.0,60.0,15.0,15.0,0.33,0,-1.2631303045431843
