Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Head2Head Win,Head2Head Draw,Winner
2015-2016,West Ham,Tottenham,1,0,1065,1173,55,67,55,36,32.85,25.86,40.48,25.71,25,25,1
2015-2016,Stoke City,Newcastle Utd,1,0,1064,916,43,39,54,53,32.65,28.23,38.3,25.57,50,50,1
2015-2016,Manchester Utd,Watford,1,0,1130,877,45,43,40,51,63.46,21.12,20.19,25.0,100,0,1
2015-2016,Liverpool,Manchester City,3,0,1106,1147,57,73,37,35,49.4,25.08,41.36,24.48,75,0,1
2015-2016,Tottenham,Arsenal,2,2,1172,1161,67,75,36,34,40.44,25.79,54.32,25.9,25,75,0
2015-2016,Swansea City,Norwich City,1,0,1015,864,40,39,53,60,32.04,27.62,28.01,29.64,50,0,1
2015-2016,Chelsea,Stoke City,1,1,1149,1068,55,43,44,54,52.9,25.57,32.54,28.47,50,25,0
2015-2016,Manchester City,Aston Villa,4,0,1152,864,74,29,35,59,41.44,24.45,34.54,29.95,75,25,1
2015-2016,Newcastle Utd,Bournemouth,1,3,891,709,39,39,53,53,38.25,25.54,31.03,27.59,50,0,-1
2015-2016,Southampton,Sunderland,1,1,1043,941,57,40,43,58,31.28,27.12,25.67,26.38,50,25,0
2015-2016,Everton,West Ham,2,3,1045,1081,56,55,52,55,36.11,28.88,32.94,25.82,50,25,-1
2015-2016,Watford,Leicester City,0,1,871,1139,43,69,51,45,20.0,24.76,29.87,28.53,0,0,-1
2015-2016,Crystal Palace,Liverpool,1,2,942,1115,44,57,52,37,27.17,26.42,49.45,25.05,75,0,-1
2015-2016,West Brom,Manchester Utd,1,0,1046,1109,40,45,52,40,25.34,27.49,63.39,21.09,50,25,1
2015-2016,Norwich City,Manchester City,0,0,875,1141,39,74,60,35,27.92,29.87,41.38,24.55,0,50,0
2015-2016,Bournemouth,Swansea City,3,2,736,988,39,40,53,53,33.33,26.67,31.87,27.47,50,50,1
2015-2016,Stoke City,Southampton,1,2,1051,1060,43,57,54,43,32.43,28.38,31.38,27.08,50,0,-1
2015-2016,Aston Villa,Tottenham,0,2,859,1177,29,67,59,36,34.5,29.91,40.5,25.76,25,0,-1
2015-2016,Leicester City,Newcastle Utd,1,0,1145,885,69,39,45,53,30.05,28.46,38.2,25.51,75,0,1
2015-2016,Everton,Arsenal,0,2,1034,1172,56,75,52,34,36.07,28.85,54.37,25.87,0,25,-1
2015-2016,Watford,Stoke City,1,2,863,1059,43,43,51,54,19.81,24.53,32.66,28.28,50,0,-1
2015-2016,Crystal Palace,Leicester City,0,1,934,1153,44,69,52,45,27.07,26.32,30.24,28.38,50,0,-1
2015-2016,Chelsea,West Ham,2,2,1146,1084,55,55,44,55,52.84,25.66,32.89,25.92,50,25,0
2015-2016,West Brom,Norwich City,0,1,1023,898,40,39,52,60,25.27,27.42,28.16,29.77,50,0,-1
2015-2016,Swansea City,Aston Villa,1,0,998,849,40,29,53,59,32.24,27.32,34.46,29.88,100,0,1
2015-2016,Southampton,Liverpool,3,2,1079,1096,57,57,43,37,31.49,27.04,49.4,25.03,25,25,1
2015-2016,Newcastle Utd,Sunderland,1,1,888,938,39,40,53,58,38.16,25.6,25.62,26.51,0,25,0
2015-2016,Manchester City,Manchester Utd,0,1,1124,1126,74,45,35,40,41.32,24.52,63.43,21.07,25,25,-1
2015-2016,Tottenham,Bournemouth,3,0,1179,734,67,39,36,53,40.57,25.74,32.26,25.81,100,0,1
2015-2016,Aston Villa,Chelsea,0,4,844,1151,29,56,59,43,34.42,29.85,52.89,25.63,0,0,-1
2015-2016,Arsenal,Watford,4,0,1177,858,76,43,34,51,54.42,25.85,19.63,24.3,100,0,1
2015-2016,Stoke City,Swansea City,2,2,1056,1001,43,40,54,53,32.55,28.52,32.07,27.72,50,25,0
2015-2016,West Ham,Crystal Palace,2,2,1077,941,55,44,55,52,32.85,26.02,26.97,26.59,50,25,0
2015-2016,Norwich City,Newcastle Utd,3,2,914,872,39,39,60,53,28.39,29.68,38.11,25.57,50,0,1
2015-2016,Bournemouth,Manchester City,0,4,731,1127,39,75,53,35,31.25,25.0,41.4,24.48,0,0,-1
2015-2016,Sunderland,West Brom,0,0,942,1019,40,40,58,52,25.58,26.64,25.2,27.61,0,75,0
2015-2016,Liverpool,Tottenham,1,1,1100,1175,57,67,37,36,49.34,25.11,40.52,25.82,50,50,0
2015-2016,Leicester City,Southampton,1,0,1166,1066,69,57,45,43,30.42,28.31,31.44,26.99,50,25,1
2015-2016,Manchester Utd,Everton,1,0,1138,1022,45,56,40,52,63.47,21.05,36.03,28.82,75,0,1
2015-2016,West Ham,Arsenal,3,3,1081,1173,55,76,55,34,32.81,26.12,54.36,25.93,25,25,0
2015-2016,Crystal Palace,Norwich City,1,0,956,899,44,39,52,60,27.24,26.49,28.3,29.58,100,0,1
2015-2016,Southampton,Newcastle Utd,3,1,1074,864,57,39,43,53,31.55,26.95,38.07,25.54,75,25,1
2015-2016,Swansea City,Chelsea,1,0,1024,1128,40,56,53,43,32.43,27.57,52.83,25.6,25,25,1
2015-2016,Aston Villa,Bournemouth,1,2,823,752,29,39,59,53,34.39,29.82,33.33,24.24,50,0,-1
2015-2016,Watford,Everton,1,1,865,1015,43,56,51,52,19.44,25.0,35.99,28.9,0,100,0
2015-2016,Manchester City,West Brom,2,1,1138,1008,75,40,35,52,41.48,24.45,25.13,27.54,100,0,1
2015-2016,Sunderland,Leicester City,0,2,935,1173,40,69,58,45,25.53,26.6,30.61,28.23,0,50,-1
2015-2016,Liverpool,Stoke City,4,1,1114,1042,58,43,37,54,49.4,25.08,32.44,28.43,75,0,1
2015-2016,Tottenham,Manchester Utd,3,0,1189,1124,67,45,36,40,40.59,25.79,63.4,21.02,25,25,1
2015-2016,Crystal Palace,Everton,0,0,959,1012,44,56,52,52,27.14,26.77,35.95,28.98,25,50,0
2015-2016,Norwich City,Sunderland,0,3,885,949,39,40,60,57,28.21,29.49,25.66,26.55,50,0,-1
2015-2016,Everton,Southampton,1,1,1015,1071,56,57,52,43,35.91,29.05,31.5,27.06,50,25,0
2015-2016,Manchester Utd,Aston Villa,1,0,1129,818,45,29,40,59,63.44,21.0,34.35,29.78,75,25,1
2015-2016,West Brom,Watford,0,1,986,887,40,43,52,51,25.07,27.47,20.18,24.77,0,50,-1
2015-2016,Newcastle Utd,Swansea City,3,0,887,1001,39,40,52,53,38.14,25.51,32.26,27.42,25,25,1
2015-2016,Chelsea,Manchester City,0,3,1112,1154,56,75,43,35,52.77,25.57,41.56,24.42,0,50,-1
2015-2016,Leicester City,West Ham,2,2,1169,1085,69,55,45,55,30.53,28.42,32.77,26.21,50,25,0
2015-2016,Bournemouth,Liverpool,1,2,748,1118,39,58,53,37,32.35,23.53,49.46,25.05,0,0,-1
2015-2016,Arsenal,Crystal Palace,1,1,1164,968,76,44,34,52,54.3,26.01,27.04,27.04,75,25,0
2015-2016,Stoke City,Tottenham,0,4,1032,1199,43,68,54,36,32.33,28.33,40.65,25.76,50,25,-1
2015-2016,Newcastle Utd,Manchester City,1,1,897,1144,39,75,52,35,38.1,25.6,41.51,24.52,0,25,0
2015-2016,Liverpool,Everton,4,0,1129,1004,59,56,36,52,49.51,25.03,35.87,29.02,25,75,1
2015-2016,West Ham,Watford,3,1,1093,879,55,43,55,51,32.85,26.18,20.0,24.55,50,0,1
2015-2016,Manchester Utd,Crystal Palace,2,0,1138,959,45,44,40,52,63.48,20.98,26.94,26.94,75,25,1
2015-2016,Arsenal,West Brom,2,0,1172,978,76,40,34,52,54.35,25.98,25.0,27.39,75,0,1
2015-2016,Manchester City,Stoke City,4,0,1155,1021,76,43,35,54,41.59,24.49,32.23,28.24,50,0,1
2015-2016,Aston Villa,Southampton,2,4,812,1077,29,57,59,43,34.31,29.75,31.6,27.02,0,50,-1
2015-2016,Liverpool,Newcastle Utd,2,2,1120,906,59,39,36,52,49.46,25.11,38.05,25.68,25,25,0
2015-2016,Bournemouth,Chelsea,1,4,744,1116,39,57,53,43,31.43,22.86,52.83,25.54,50,0,-1
2015-2016,Sunderland,Arsenal,0,0,958,1163,40,76,57,34,25.62,26.68,54.29,26.06,0,50,0
2015-2016,Leicester City,Swansea City,4,0,1178,992,70,40,44,53,30.71,28.35,32.09,27.27,75,0,1
2015-2016,Tottenham,West Brom,1,1,1190,987,68,40,36,52,40.61,25.84,24.93,27.59,25,50,0
2015-2016,Watford,Aston Villa,3,2,892,799,43,29,51,59,20.72,24.32,34.27,29.72,100,0,1
2015-2016,Everton,Bournemouth,2,1,1010,738,56,39,52,53,35.94,28.99,30.56,22.22,50,50,1
2015-2016,Stoke City,Sunderland,1,1,1018,961,43,40,54,57,32.12,28.48,25.57,26.81,0,50,0
2015-2016,West Brom,West Ham,0,3,976,1104,40,55,52,55,24.87,27.51,32.94,26.14,0,50,-1
2015-2016,Newcastle Utd,Crystal Palace,1,0,924,941,39,44,52,52,38.12,25.65,26.84,26.84,25,50,1
2015-2016,Arsenal,Norwich City,1,0,1168,880,76,39,34,60,54.34,26.03,28.12,29.39,50,50,1
2015-2016,Swansea City,Liverpool,3,1,1014,1098,40,59,53,36,32.45,27.13,49.4,25.08,25,0,1
2015-2016,Manchester Utd,Leicester City,1,1,1140,1176,45,70,40,44,63.41,21.06,30.63,28.53,25,50,0
2015-2016,Southampton,Manchester City,4,2,1097,1135,57,76,43,35,31.71,26.98,41.53,24.45,25,0,1
2015-2016,Chelsea,Tottenham,2,2,1119,1187,57,68,43,36,52.77,25.62,40.56,25.92,25,50,0
2015-2016,Norwich City,Manchester Utd,0,1,874,1146,39,45,60,40,28.03,29.3,63.45,21.04,50,0,-1
2015-2016,Sunderland,Chelsea,3,2,984,1096,40,57,57,43,25.7,26.76,52.71,25.6,25,25,1
2015-2016,Bournemouth,West Brom,1,1,748,966,39,40,53,52,29.73,24.32,24.8,27.7,50,50,0
2015-2016,Crystal Palace,Stoke City,2,1,960,999,44,43,52,54,27.11,26.74,32.01,28.38,75,25,1
2015-2016,Aston Villa,Newcastle Utd,0,0,805,918,29,39,59,52,34.24,29.79,38.08,25.74,0,75,0
2015-2016,West Ham,Swansea City,1,4,1084,1034,55,41,55,52,32.9,26.11,32.8,26.98,25,50,-1
2015-2016,Leicester City,Everton,3,1,1185,1001,70,56,44,52,30.81,28.46,35.9,28.96,50,50,1
2015-2016,Tottenham,Southampton,1,2,1167,1117,68,57,36,43,40.52,25.89,31.81,26.94,50,25,-1
2015-2016,Liverpool,Watford,2,0,1105,885,59,43,36,51,49.46,25.05,20.54,24.11,50,0,1
2015-2016,Manchester City,Arsenal,2,2,1137,1166,76,76,35,34,41.47,24.56,54.28,26.11,0,50,0
2015-2016,West Ham,Manchester Utd,3,2,1103,1127,55,45,55,40,32.99,26.08,63.38,21.02,25,50,1
2015-2016,Sunderland,Everton,3,0,1001,984,40,56,56,52,25.83,26.71,35.86,28.93,50,25,1
2015-2016,Liverpool,Chelsea,1,1,1105,1096,59,57,36,43,49.4,25.14,52.65,25.68,25,50,0
2015-2016,Norwich City,Watford,4,2,891,868,39,43,59,51,28.25,29.21,20.35,23.89,50,0,1
2015-2016,Swansea City,Manchester City,1,1,1039,1132,41,76,52,35,32.63,27.37,41.42,24.66,0,25,0
2015-2016,West Brom,Liverpool,1,1,972,1099,40,59,52,36,24.74,27.89,49.35,25.22,0,75,0
2015-2016,Arsenal,Aston Villa,4,0,1170,801,77,29,34,59,54.33,26.08,34.2,29.76,100,0,1
2015-2016,Southampton,Crystal Palace,4,1,1126,951,58,44,43,52,31.91,26.9,27.01,26.64,75,0,1
2015-2016,Everton,Norwich City,3,0,996,879,56,39,52,59,35.93,28.9,28.16,29.11,50,50,1
2015-2016,Newcastle Utd,Tottenham,5,1,944,1141,40,68,51,36,38.15,25.71,40.48,25.87,75,0,1
2015-2016,Stoke City,West Ham,2,1,1020,1082,43,55,54,55,32.24,28.29,32.94,26.04,25,75,1
2015-2016,Watford,Sunderland,2,2,874,995,43,40,51,56,20.18,24.56,25.79,26.84,50,50,0
2015-2016,Chelsea,Leicester City,1,1,1100,1181,57,70,43,44,52.6,25.76,30.73,28.65,50,25,0
2015-2016,Manchester Utd,Bournemouth,3,1,1130,745,45,39,40,53,63.42,21.0,28.95,23.68,50,0,1
2016-2017,Hull City,Leicester City,2,1,911,1154,34,44,72,51,21.57,26.8,30.65,28.57,33,33,1
2016-2017,Middlesbrough,Stoke City,1,1,751,1009,30.93,47.67,55.3,48.67,29.8,29.24,32.13,28.52,0,100,0
2016-2017,Burnley,Swansea City,0,1,818,1046,36,40,55,65,19.48,23.38,32.98,27.23,0,0,-1
2016-2017,Everton,Tottenham,1,1,1002,1135,49.63,70.07,45.78,33.78,35.89,28.97,40.43,25.95,0,60,0
2016-2017,Crystal Palace,West Brom,0,1,936,987,45,38,50,48,26.91,26.55,24.93,27.82,20,20,-1
2016-2017,Southampton,Watford,1,1,1116,884,49.98,36.25,43.08,52.62,31.87,27.01,20.0,25.22,33,67,0
2016-2017,Manchester City,Sunderland,2,1,1142,985,80,34,30,66,41.5,24.63,25.74,26.8,100,0,1
2016-2017,Bournemouth,Manchester Utd,1,3,742,1133,50,58,63,31,28.21,23.08,63.46,20.97,33,0,-1
2016-2017,Arsenal,Liverpool,3,4,1151,1118,63,69,47,38,54.27,26.05,49.41,25.19,20,60,-1
2016-2017,Chelsea,West Ham,2,1,1115,1067,62,48,29,60,52.65,25.73,32.9,26.01,60,20,1
2016-2017,Manchester Utd,Southampton,2,0,1148,1101,58,50,31,43,63.5,20.95,31.82,26.97,60,0,1
2016-2017,Stoke City,Manchester City,1,4,999,1152,48,81,49,30,32.03,28.43,41.58,24.59,40,0,-1
2016-2017,Tottenham,Crystal Palace,1,0,1143,928,70,45,34,50,40.5,25.92,26.81,26.45,60,20,1
2016-2017,Burnley,Liverpool,2,0,845,1091,36,69,55,38,20.51,23.08,49.35,25.16,33,0,1
2016-2017,West Brom,Everton,1,2,972,1017,38,50,48,46,24.87,27.75,35.96,28.94,20,20,-1
2016-2017,Swansea City,Hull City,0,2,1024,933,40,34,65,72,32.81,27.08,22.08,26.62,67,0,-1
2016-2017,Watford,Chelsea,1,2,877,1122,36,62,53,29,19.83,25.0,52.7,25.7,0,67,-1
2016-2017,Leicester City,Arsenal,0,0,1154,1151,44,63,51,47,30.57,28.76,54.21,26.13,0,40,0
2016-2017,Sunderland,Middlesbrough,1,2,960,776,34,31,66,55,25.7,26.75,29.93,29.18,0,0,-1
2016-2017,West Ham,Bournemouth,1,0,1071,738,48,50,60,63,32.99,25.97,27.5,22.5,67,0,1
2016-2017,Tottenham,Liverpool,1,1,1141,1093,70,69,34,38,40.45,26.0,49.3,25.24,0,60,0
2016-2017,Leicester City,Swansea City,2,1,1164,1014,44,40,51,65,30.75,28.68,32.64,26.94,80,0,1
2016-2017,Watford,Arsenal,1,3,872,1156,36,63,53,47,19.66,24.79,54.26,26.11,0,0,-1
2016-2017,Southampton,Sunderland,1,1,1095,966,50,34,43,66,31.77,27.08,25.65,26.88,40,40,0
2016-2017,Everton,Stoke City,1,0,1032,984,50,48,46,49,36.03,28.91,31.92,28.34,40,0,1
2016-2017,Chelsea,Burnley,3,0,1127,840,62,36,29,55,52.75,25.67,20.25,22.78,67,33,1
2016-2017,Crystal Palace,Bournemouth,1,1,920,746,45,50,50,63,26.71,26.71,26.83,24.39,0,67,0
2016-2017,Hull City,Manchester Utd,0,1,926,1155,34,58,72,31,21.94,26.45,63.54,20.93,0,33,-1
2016-2017,West Brom,Middlesbrough,0,0,964,784,38,31,48,55,24.8,27.94,29.87,29.31,0,100,0
2016-2017,Manchester City,West Ham,3,1,1164,1059,81,48,30,60,41.66,24.56,32.94,25.94,40,20,1
2016-2017,Manchester Utd,Manchester City,1,2,1139,1180,58,81,31,30,63.47,20.91,41.73,24.53,40,20,-1
2016-2017,Bournemouth,West Brom,1,0,771,939,50,38,63,48,28.57,23.81,24.74,27.86,67,33,1
2016-2017,West Ham,Watford,2,4,1035,896,48,36,60,52,32.9,25.91,20.34,24.58,33,0,-1
2016-2017,Arsenal,Southampton,2,1,1169,1082,63,50,47,43,54.31,26.08,31.72,27.04,40,20,1
2016-2017,Stoke City,Tottenham,0,4,975,1150,48,71,49,34,31.82,28.25,40.52,25.97,40,20,-1
2016-2017,Burnley,Hull City,1,1,844,922,36,34,55,72,20.0,23.75,21.79,26.92,67,33,0
2016-2017,Middlesbrough,Crystal Palace,1,2,774,930,31,45,55,50,29.81,29.26,26.98,26.62,0,0,-1
2016-2017,Liverpool,Leicester City,4,1,1112,1145,70,44,38,51,49.35,25.22,30.67,28.61,60,20,1
2016-2017,Swansea City,Chelsea,2,2,1019,1122,40,62,65,29,32.47,27.32,52.69,25.75,20,40,0
2016-2017,Sunderland,Everton,0,3,953,1045,34,50,66,46,25.61,26.83,36.1,28.88,40,20,-1
2016-2017,Chelsea,Liverpool,1,2,1106,1128,62,70,29,38,52.64,25.73,49.41,25.19,20,40,-1
2016-2017,Manchester City,Bournemouth,4,0,1183,768,82,50,30,63,41.81,24.49,27.91,23.26,100,0,1
2016-2017,West Brom,West Ham,4,2,959,1015,38,48,47,60,24.94,27.79,32.86,25.87,20,40,1
2016-2017,Hull City,Arsenal,1,4,916,1175,34,64,72,47,21.66,26.75,54.36,26.05,0,33,-1
2016-2017,Leicester City,Burnley,3,0,1150,839,44,36,50,55,30.85,28.53,19.75,23.46,67,33,1
2016-2017,Everton,Middlesbrough,3,1,1051,768,50,31,46,55,36.17,28.85,29.76,29.21,100,0,1
2016-2017,Watford,Manchester Utd,3,1,922,1113,36,58,52,31,21.01,24.37,63.4,20.88,33,0,1
2016-2017,Southampton,Swansea City,1,0,1095,1006,50,40,43,65,31.83,27.0,32.31,27.18,80,0,1
2016-2017,Crystal Palace,Stoke City,4,1,948,957,46,48,49,49,27.24,26.52,31.72,28.16,80,20,1
2016-2017,Tottenham,Sunderland,1,0,1158,945,71,34,34,66,40.58,25.94,25.57,26.78,80,20,1
2016-2017,Manchester Utd,Leicester City,4,1,1131,1132,59,44,31,50,63.44,20.86,30.77,28.46,40,40,1
2016-2017,Liverpool,Hull City,5,1,1135,909,71,34,37,72,49.46,25.16,21.52,26.58,33,33,1
2016-2017,Bournemouth,Everton,1,0,795,1024,50,50,63,46,29.55,22.73,36.13,28.82,33,33,1
2016-2017,Swansea City,Manchester City,1,3,998,1191,40,82,65,30,32.14,27.04,41.89,24.46,0,20,-1
2016-2017,Middlesbrough,Tottenham,1,2,765,1161,31,71,55,34,29.7,29.15,40.65,25.91,0,0,-1
2016-2017,Stoke City,West Brom,1,1,957,959,48,38,49,47,31.61,28.39,24.87,27.98,20,20,0
2016-2017,Sunderland,Crystal Palace,2,3,929,964,34,46,66,49,25.52,26.74,27.5,26.43,40,20,-1
2016-2017,Arsenal,Chelsea,3,0,1188,1093,64,62,47,29,54.41,26.02,52.58,25.7,20,20,1
2016-2017,West Ham,Southampton,0,3,1003,1107,48,50,60,43,32.82,25.84,31.93,26.96,20,20,-1
2016-2017,Burnley,Watford,2,0,859,902,36,36,55,52,20.73,23.17,20.83,24.17,100,0,1
2016-2017,Everton,Crystal Palace,1,1,1021,967,50,46,46,49,36.09,28.89,27.4,26.69,20,60,0
2016-2017,Swansea City,Liverpool,1,2,988,1145,40,71,65,37,31.98,26.9,49.52,25.13,20,0,-1
2016-2017,Hull City,Chelsea,0,2,901,1101,34,62,72,29,21.38,26.42,52.63,25.67,0,0,-1
2016-2017,Sunderland,West Brom,1,1,930,958,34,38,66,47,25.48,26.86,24.81,28.17,0,80,0
2016-2017,Watford,Bournemouth,2,2,897,800,36,50,52,63,20.66,24.79,28.89,24.44,0,100,0
2016-2017,West Ham,Middlesbrough,1,1,993,775,48,31,60,55,32.77,25.94,29.65,29.28,0,100,0
2016-2017,Manchester Utd,Stoke City,1,1,1124,964,59,48,31,49,63.37,20.95,31.51,28.62,40,40,0
2016-2017,Leicester City,Southampton,0,0,1131,1108,44,50,50,43,30.69,28.64,31.88,27.07,40,40,0
2016-2017,Tottenham,Manchester City,2,0,1178,1174,71,82,34,30,40.71,25.89,41.84,24.43,60,0,1
2016-2017,Burnley,Arsenal,0,1,855,1192,36,64,55,47,20.48,22.89,54.46,25.99,0,0,-1
2016-2017,Chelsea,Leicester City,3,0,1118,1114,62,44,29,50,52.68,25.64,30.61,28.57,60,20,1
2016-2017,Manchester City,Everton,1,1,1167,1028,82,50,30,46,41.78,24.53,36.05,28.97,40,60,0
2016-2017,Stoke City,Sunderland,2,0,978,916,48,34,49,66,31.73,28.53,25.43,26.82,20,40,1
2016-2017,Arsenal,Swansea City,3,2,1200,980,64,40,47,65,54.51,25.97,31.82,26.77,40,0,1
2016-2017,West Brom,Tottenham,1,1,967,1169,38,71,47,34,24.74,28.35,40.67,25.97,20,60,0
2016-2017,Bournemouth,Hull City,6,1,821,880,52,34,61,73,30.43,23.91,21.25,26.25,100,0,1
2016-2017,Crystal Palace,West Ham,0,1,952,1008,46,48,49,60,27.3,26.6,32.86,25.9,20,20,-1
2016-2017,Middlesbrough,Watford,0,1,764,908,31,36,55,52,29.6,29.23,21.31,24.59,0,0,-1
2016-2017,Southampton,Burnley,3,1,1114,849,50,36,43,55,31.98,27.03,20.24,22.62,67,0,1
2016-2017,Liverpool,Manchester Utd,0,0,1144,1125,71,59,37,31,49.46,25.21,63.3,21.03,0,20,0
2016-2017,Bournemouth,Tottenham,0,0,833,1157,52,71,61,34,29.79,25.53,40.62,26.05,0,33,0
2016-2017,Leicester City,Crystal Palace,3,1,1123,943,44,46,50,49,30.79,28.5,27.21,26.5,60,0,1
2016-2017,West Ham,Sunderland,1,0,1020,904,48,34,60,66,32.95,25.87,25.39,26.77,60,40,1
2016-2017,Swansea City,Watford,0,0,977,911,40,36,65,52,31.66,27.14,21.14,25.2,33,33,0
2016-2017,Hull City,Stoke City,0,2,868,990,34,48,73,49,21.12,26.09,31.95,28.43,0,33,-1
2016-2017,Arsenal,Middlesbrough,0,0,1186,778,64,31,47,55,54.45,26.05,29.54,29.36,0,100,0
2016-2017,Burnley,Everton,2,1,873,1004,36,50,55,46,21.18,22.35,36.01,28.94,33,0,1
2016-2017,Liverpool,West Brom,2,1,1152,959,71,38,37,47,49.52,25.19,24.68,28.28,40,60,1
2016-2017,Manchester City,Southampton,1,1,1165,1116,82,50,30,43,41.72,24.63,31.93,27.14,60,20,0
2016-2017,Chelsea,Manchester Utd,4,0,1134,1109,63,59,29,31,52.73,25.62,63.24,21.01,40,60,1
2016-2017,Sunderland,Arsenal,1,4,899,1191,34,65,66,47,25.34,26.72,54.5,26.02,0,40,-1
2016-2017,West Brom,Manchester City,0,4,952,1172,38,83,47,30,24.62,28.21,41.8,24.6,0,0,-1
2016-2017,Middlesbrough,Bournemouth,2,0,797,814,31,52,55,61,29.67,29.3,29.17,25.0,100,0,1
2016-2017,Manchester Utd,Burnley,0,0,1100,882,59,36,31,55,63.17,21.09,20.93,23.26,33,67,0
2016-2017,Watford,Hull City,1,0,925,854,36,34,52,73,21.77,25.0,20.99,25.93,100,0,1
2016-2017,Tottenham,Leicester City,1,1,1155,1125,71,44,34,50,40.58,26.12,30.71,28.68,40,40,0
2016-2017,Crystal Palace,Liverpool,2,4,936,1159,46,71,49,37,27.11,26.41,49.57,25.16,60,0,-1
2016-2017,Everton,West Ham,2,0,1021,1003,50,48,46,60,36.08,28.91,32.9,25.84,60,20,1
2016-2017,Southampton,Chelsea,0,2,1101,1149,50,63,43,29,31.89,27.1,52.78,25.59,20,40,-1
2016-2017,Stoke City,Swansea City,3,1,1005,962,48,40,49,65,32.17,28.34,31.5,27.0,60,20,1
2016-2017,Bournemouth,Sunderland,1,2,802,911,52,34,61,66,28.57,24.49,25.47,26.68,33,33,-1
2016-2017,Burnley,Crystal Palace,3,2,900,918,36,46,55,49,21.84,22.99,27.02,26.32,33,33,1
2016-2017,West Ham,Stoke City,1,1,1003,1005,48,48,60,49,32.86,25.93,32.06,28.57,0,80,0
2016-2017,Manchester City,Middlesbrough,1,1,1159,810,83,31,30,55,41.74,24.7,29.62,29.43,0,100,0
2016-2017,Chelsea,Everton,5,0,1159,1011,64,50,28,46,52.83,25.56,36.04,28.88,60,20,1
2016-2017,Arsenal,Tottenham,1,1,1189,1157,65,71,47,34,54.44,26.1,40.53,26.2,0,80,0
2016-2017,Liverpool,Watford,6,1,1166,918,72,36,36,52,49.63,25.13,21.6,24.8,67,0,1
2016-2017,Hull City,Southampton,2,1,880,1075,34,50,73,43,21.47,25.77,31.84,27.06,33,0,1
2016-2017,Swansea City,Manchester Utd,1,3,952,1110,40,59,65,31,31.34,26.87,63.21,21.07,60,0,-1
2016-2017,Leicester City,West Brom,1,2,1102,975,44,38,50,47,30.63,28.61,24.81,28.13,40,20,-1
2016-2017,Manchester Utd,Arsenal,1,1,1114,1185,59,65,31,47,63.14,21.15,54.38,26.18,40,40,0
2016-2017,Southampton,Liverpool,0,0,1079,1162,50,72,43,36,31.79,27.16,49.57,25.21,20,40,0
2016-2017,Crystal Palace,Manchester City,1,2,912,1165,46,83,49,30,26.92,26.22,41.82,24.66,20,0,-1
2016-2017,Watford,Leicester City,2,1,942,1078,36,44,52,50,22.22,24.6,30.56,28.54,33,0,1
2016-2017,Stoke City,Bournemouth,0,1,981,826,48,52,49,61,31.96,28.48,30.0,24.0,67,0,-1
2016-2017,Sunderland,Hull City,3,0,926,865,34,34,65,73,25.6,26.63,21.34,25.61,33,33,1
2016-2017,Everton,Swansea City,1,1,1008,955,50,40,46,65,36.0,28.95,31.19,27.23,0,80,0
2016-2017,Tottenham,West Ham,3,2,1166,994,71,48,34,60,40.6,26.18,32.82,25.9,60,20,1
2016-2017,Middlesbrough,Chelsea,0,1,806,1163,31,64,55,28,29.56,29.38,52.88,25.53,0,0,-1
2016-2017,West Brom,Burnley,4,0,988,887,39,36,46,55,25.0,28.06,21.59,22.73,67,33,1
2016-2017,Burnley,Manchester City,1,2,882,1170,36,83,55,30,21.35,22.47,41.9,24.63,33,33,-1
2016-2017,Leicester City,Middlesbrough,2,2,1068,816,44,31,50,55,30.48,28.72,29.51,29.51,0,100,0
2016-2017,Hull City,West Brom,1,1,870,983,34,39,73,46,21.21,26.06,24.94,28.24,0,67,0
2016-2017,Swansea City,Crystal Palace,5,4,969,898,40,46,65,49,31.53,27.09,26.83,26.13,20,60,1
2016-2017,Liverpool,Sunderland,2,0,1169,919,72,34,36,65,49.63,25.19,25.56,26.59,60,40,1
2016-2017,Chelsea,Tottenham,2,1,1179,1150,64,71,28,34,52.93,25.51,40.55,26.15,40,40,1
2016-2017,Watford,Stoke City,0,1,928,995,36,48,52,49,22.05,24.41,32.18,28.39,33,0,-1
2016-2017,Arsenal,Bournemouth,3,1,1189,822,65,52,47,61,54.43,26.15,29.41,23.53,100,0,1
2016-2017,Manchester Utd,West Ham,1,1,1109,999,59,48,31,60,63.07,21.24,32.78,25.99,20,60,0
2016-2017,Southampton,Everton,1,0,1092,995,50,50,43,46,31.89,27.12,35.97,28.92,40,20,1
2016-2017,Manchester City,Chelsea,1,3,1154,1195,83,64,30,28,41.84,24.6,52.99,25.48,40,40,-1
2016-2017,West Brom,Watford,3,1,996,915,39,36,46,52,25.13,28.17,21.88,24.22,33,33,1
2016-2017,Stoke City,Burnley,2,0,1006,871,48,36,49,55,32.39,28.3,21.11,22.22,33,33,1
2016-2017,Crystal Palace,Southampton,3,0,922,1068,46,50,49,43,27.08,26.04,31.85,27.08,40,0,1
2016-2017,Sunderland,Leicester City,2,1,941,1046,34,44,65,50,25.68,26.54,30.4,28.64,20,40,1
